segment,bucket,policy,n,containment_rate,median_width_vs_champion,median_actual_recommended_width_ratio,median_range_utilization
inside_band,inside_MID,champion_v0_1,10,0.3,1.0,1.8827794418295052,0.8215871243289814
inside_band,inside_MID,expansion_widen,10,0.3,1.350000000000001,1.3946514383922262,0.6733978698733205
inside_band,inside_MID,v2_range70_floor,10,0.3,1.0,1.8827794418295052,0.8215871243289814
inside_band,inside_MID,v2_range70_trailing_buffer,10,0.4,1.4414627270981746,1.1756095969684646,0.6123984726725324
inside_band,inside_HIGH,champion_v0_1,10,0.5,1.0,0.6111695702651363,0.5868719240996099
inside_band,inside_HIGH,expansion_widen,10,0.7,1.2749999999999968,0.506104858026486,0.506104858026486
inside_band,inside_HIGH,v2_range70_floor,10,0.5,1.0,0.6111230109528867,0.5868253647873604
inside_band,inside_HIGH,v2_range70_trailing_buffer,10,0.7,1.5652592638559004,0.3393483155709609,0.3393483155709609
inside_band,inside_HIGH,stress_filter_no_grid,5,1.0,1.0,0.4742939898624173,0.4742939898624173
inside_band,inside_LOW,champion_v0_1,10,0.2,1.0,1.5620804159802315,0.6701297122948879
inside_band,inside_LOW,expansion_widen,10,0.2,1.3499999999999976,1.157096604429804,0.6260220091073274
inside_band,inside_LOW,v2_range70_floor,10,0.2,1.0,1.5620804159802315,0.6701297122948879
inside_band,inside_LOW,v2_range70_trailing_buffer,10,0.3,1.73239269563883,0.8450949155235299,0.5857557906281339
expansion_band,expansion_LOW,champion_v0_1,10,0.5,1.0,0.6111695702651363,0.5868719240996099
expansion_band,expansion_LOW,expansion_widen,10,0.6,1.2749999999999968,0.506104858026486,0.506104858026486
expansion_band,expansion_LOW,v2_range70_floor,10,0.5,1.0,0.6111230109528867,0.5868253647873604
expansion_band,expansion_LOW,v2_range70_trailing_buffer,10,0.6,1.5362804867862967,0.3393483155709609,0.3393483155709609
expansion_band,expansion_MID,champion_v0_1,10,0.3,1.0,1.017389319050229,0.5999954192266486
expansion_band,expansion_MID,expansion_widen,10,0.4,1.3500000000000019,0.7536217178149855,0.5663637484172441
expansion_band,expansion_MID,v2_range70_floor,10,0.3,1.0,1.017389319050229,0.5999954192266486
expansion_band,expansion_MID,v2_range70_trailing_buffer,10,0.6,1.620239127533033,0.6728330693813835,0.49906266378529474
expansion_band,expansion_LOW,stress_filter_no_grid,5,1.0,1.0,0.4742939898624173,0.4742939898624173
expansion_band,expansion_HIGH,champion_v0_1,10,0.2,1.0,1.736116748508405,0.7301825606533741
expansion_band,expansion_HIGH,expansion_widen,10,0.2,1.3499999999999988,1.2860124063025187,0.6705056004839803
expansion_band,expansion_HIGH,v2_range70_floor,10,0.2,1.0,1.736116748508405,0.7301825606533741
expansion_band,expansion_HIGH,v2_range70_trailing_buffer,10,0.2,1.628011413650638,0.931047131923564,0.6034500224392045
directional_state,UNKNOWN,champion_v0_1,30,0.3333333333333333,1.0,1.2012036060876303,0.6584804880560098
directional_state,UNKNOWN,expansion_widen,30,0.4,1.3499999999999988,0.8897804489538015,0.6173929541155658
directional_state,UNKNOWN,v2_range70_floor,30,0.3333333333333333,1.0,1.2012036060876303,0.6584804880560098
directional_state,UNKNOWN,v2_range70_trailing_buffer,30,0.4666666666666667,1.5765929736226552,0.7469801565838787,0.5696732120943213
directional_state,UNKNOWN,stress_filter_no_grid,5,1.0,1.0,0.4742939898624173,0.4742939898624173
confidence_band,MEDIUM,champion_v0_1,30,0.3333333333333333,1.0,1.2012036060876303,0.6584804880560098
confidence_band,MEDIUM,expansion_widen,30,0.4,1.3499999999999988,0.8897804489538015,0.6173929541155658
confidence_band,MEDIUM,v2_range70_floor,30,0.3333333333333333,1.0,1.2012036060876303,0.6584804880560098
confidence_band,MEDIUM,v2_range70_trailing_buffer,30,0.4666666666666667,1.5765929736226552,0.7469801565838787,0.5696732120943213
confidence_band,MEDIUM,stress_filter_no_grid,5,1.0,1.0,0.4742939898624173,0.4742939898624173
