event,horizon,n,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece,monotonicity,assessment
mean_reversion,1H,3679,0.337048110899701,0.9275396846969286,0.6238965784262027,0.22344668183864386,0.40044989658755886,-1.792149667618395,4.521492175903307,0.639058064044275,3.882434111859032,0.18408142549167428,0.2117822244451226,0.603700924164175,noisy,INVERTED
mean_reversion,2H,3679,0.46153846153846156,0.9275396846969286,0.5134933710328894,0.24852071005917162,0.26497266097371774,-1.0661995167751974,3.9385318729738654,0.6901856760188205,3.248346196955045,0.22320124218949275,0.31775172694427617,0.49606297907039965,noisy,INVERTED
mean_reversion,4H,3679,0.5879315031258494,0.9275396846969286,0.3989667061783093,0.24226805075802874,0.15669865542028058,-0.6467986799331922,3.260444482186359,0.6776025685869504,2.5828419135994087,0.25140038083527594,0.44257182635993136,0.38217333514542,inverted,INVERTED
mean_reversion,8H,3679,0.6974721391682522,0.9275396846969286,0.2966411285756999,0.2110047542523144,0.0856363743233855,-0.40585044932676534,2.420474368202742,0.6129909629356209,1.8074834052671211,0.28340962997355,0.5756477073651792,0.28234979614025546,inverted,INVERTED
mean_reversion,12H,3679,0.7583582495243273,0.9275396846969286,0.24016121555585757,0.18325101490272547,0.0569102006531321,-0.3105587201431957,1.8143314559114563,0.5529649631485529,1.2613664927629034,0.29997056819510465,0.6674424681775125,0.23668521337319923,noisy,INVERTED
mean_reversion,24H,3679,0.8252242457189454,0.9275396846969286,0.1776544474123403,0.14422918999654305,0.033425257415797244,-0.2317509889405771,1.3329867179079244,0.46337855077807016,0.8696081671298543,0.313860680645115,0.7542677803940615,0.18232261484098938,inverted,INVERTED
mean_reversion,ALL,22074,0.6112621183292561,0.9275396846969285,0.37513557453021656,0.2376207410248866,0.13751483350532998,-0.5787156159525978,2.88137684551423,0.6681801766707429,2.213196668843487,0.28339934867883904,0.48514337278390113,0.35703063332427293,noisy,INVERTED
upside_breakout,1H,4206,0.6378982406086543,0.3101129814550642,0.3642837756395625,0.2309840752370377,0.13329970040252478,-0.5770947640686119,0.9658035461559211,0.6546178935542958,0.31118565260162534,0.46638363333838284,0.6194561142074453,0.3389608654303376,noisy,NO CLEAR SIGNAL
upside_breakout,2H,4206,0.6274369947693771,0.3101129814550642,0.3590475892391821,0.23375981236414978,0.12528777687503234,-0.5359679904254018,0.9528653759100986,0.6603056779924967,0.29255969791760184,0.4743224998929948,0.6139771008676198,0.32707308606752256,noisy,NO CLEAR SIGNAL
upside_breakout,4H,4206,0.6229196386115073,0.3101129814550642,0.3575824917593914,0.23489076244361642,0.12269172931577496,-0.5223352678470108,0.9494336606664557,0.6626167139946011,0.28681694667185464,0.46928263045926666,0.608813011524521,0.32112919638611503,noisy,NO CLEAR SIGNAL
