event,n,eligible_rule,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece,horizon,classification
mean_reversion,1157,mean_reversion_eligible,0.21780466724286948,0.9589229040622299,0.7430707680034573,0.1703657941700924,0.5727049738333649,-3.3616194883673596,8.973029523321992,0.5241153260689473,8.448914197253044,0.20562132772077524,0.13448803360637068,0.7432577355229041,1H,INVERTED
mean_reversion,1145,mean_reversion_eligible,0.3074235807860262,0.9586329257641922,0.6629240486026201,0.21291432276272385,0.4500097258398963,-2.113571881875681,8.738238566345965,0.617023681432039,8.121214884913925,0.18699486988421415,0.19367186620515764,0.6533712663755459,2H,INVERTED
mean_reversion,1121,mean_reversion_eligible,0.3835860838537021,0.9588884032114184,0.5981309621855486,0.23644780012748268,0.36168316205806594,-1.5296533182506313,8.60722376267415,0.6657924284609812,7.94143133421317,0.16020765321576413,0.24270711821625024,0.5775105263157896,4H,INVERTED
mean_reversion,1074,mean_reversion_eligible,0.4273743016759777,0.9619677839851023,0.5629710857728119,0.2447255079429481,0.31824557782986373,-1.3004184995053931,8.728273097573187,0.682560786131381,8.045712311441806,0.1414474732982624,0.27150409115764,0.5531895716945996,8H,INVERTED
mean_reversion,1026,mean_reversion_eligible,0.4444444444444444,0.9612390838206628,0.5497988765204679,0.2469135802469136,0.3028852962735543,-1.226685449907895,8.972807481709491,0.6869615765973234,8.285845905112168,0.11125923361034164,0.27882623106321874,0.5479566276803118,12H,INVERTED
mean_reversion,883,mean_reversion_eligible,0.5152887882219706,0.9563944507361268,0.48085642096262743,0.24976625295470375,0.23109016800792367,-0.9252257471702269,9.573989226313168,0.6926796135918519,8.881309612721317,0.10181267330800041,0.33425225394539526,0.4773142695356738,24H,INVERTED
upside_breakout,1190,all_rows,0.5546218487394958,0.4683464705882353,0.30343826348739494,0.24701645364027966,0.056421809847115284,-0.22841316444968537,0.8814467188744942,0.6871681620862643,0.19427855678822992,0.5150843339050887,0.555492078130222,0.21235134453781515,1H,NO EDGE
upside_breakout,1178,all_rows,0.6162988115449916,0.4684723259762309,0.30773641916808153,0.23647458643322256,0.07126183273485898,-0.30135091389612145,0.8753940526830697,0.665847000843985,0.20954705183908473,0.5103381969331285,0.6221292979798096,0.24231986417657045,2H,NO EDGE
upside_breakout,1154,all_rows,0.6932409012131716,0.4706430675909879,0.32788631721837086,0.21265795409832125,0.11522836312004961,-0.5418483574180084,0.9196072615776122,0.6164829571341645,0.30312430444344773,0.46867408192090393,0.6685305137457149,0.3103909012131716,4H,NO EDGE
upside_breakout,1106,all_rows,0.810126582278481,0.47793047016274864,0.3284510923056058,0.15382150296426855,0.17462958934133727,-1.1352742365409227,0.884215593877863,0.48603936700433603,0.39817622687352694,0.43953815901360543,0.7977424469003577,0.36645524412296565,8H,INVERTED
upside_breakout,1058,all_rows,0.8459357277882797,0.4803271266540643,0.30535067630434787,0.1303284722395932,0.17502220406475466,-1.3429314489545876,0.8192211304419225,0.4296946761351655,0.389526454306757,0.5483977105254139,0.8764183999023668,0.37425037807183364,12H,WEAK
upside_breakout,915,all_rows,0.9224043715846995,0.4856951912568306,0.3272985310928962,0.07157454686613514,0.25572398422676107,-3.572834134808258,0.8686043064781243,0.2728574240635856,0.5957468824145387,0.4643298177691743,0.9181913928044466,0.4459365027322405,24H,NO EDGE
downside_breakdown,1190,all_rows,0.6504201680672269,0.2347942857142857,0.40678763484033614,0.2273737730386272,0.17941386180170893,-0.7890701702488323,1.0741202958601928,0.6471861504525209,0.42693414540767183,0.4563937959650169,0.6086230640238739,0.4164312605042017,1H,NO EDGE
downside_breakdown,1178,all_rows,0.6086587436332768,0.2352660441426146,0.38355394764006795,0.23819327743203783,0.14536067020803012,-0.6102635295805313,1.0151976494535444,0.669344267835146,0.3458533816183984,0.464816344312437,0.5663600695325539,0.3742062818336163,2H,NO EDGE
downside_breakdown,1154,all_rows,0.5398613518197574,0.23573613518197573,0.34538656558925473,0.24841107263110154,0.09697549295815319,-0.3903831336140355,0.9229557922676976,0.689965950981344,0.2329898412863537,0.47697037299017875,0.4975362378867893,0.31188812824956674,4H,NO EDGE
downside_breakdown,1106,all_rows,0.43670886075949367,0.2352119349005425,0.2940211389511754,0.24599423169363882,0.048026907257536555,-0.19523590828483026,0.8075678090480636,0.6851141107271482,0.12245369832091535,0.4623839765510503,0.38426068355911963,0.2254352622061483,8H,NO EDGE
downside_breakdown,1058,all_rows,0.3998109640831758,0.23579357277882795,0.27419219413988655,0.23996215708205734,0.034230037057829205,-0.14264764692094312,0.7560868532404263,0.6729349450898563,0.08315190815057005,0.4609258949014352,0.3439673180425116,0.22032722117202264,12H,NO EDGE
downside_breakdown,915,all_rows,0.32021857923497266,0.23774546448087433,0.23341581203278688,0.21767864074770818,0.015737171285078705,-0.07229543160974737,0.6632630459503995,0.6270341066681221,0.03622893928227744,0.4290684020499764,0.2618364958510547,0.16699901639344264,24H,INVERTED
range_continuation,1190,all_rows,0.04285714285714286,0.21340546218487394,0.1131029478235294,0.041020408163265305,0.0720825396602641,-1.7572360414691248,0.5381278124978366,0.17692035111794388,0.3612074613798927,0.40935461102790544,0.03544157703951861,0.19575890756302522,1H,INVERTED
range_continuation,1178,all_rows,0.059422750424448216,0.21405806451612905,0.11471287485568761,0.05589168715644196,0.05882118769924565,-1.0524138864265085,0.4227949387562961,0.22537623694509312,0.19741870181120297,0.5565626611655492,0.07412536921119187,0.18024719864176572,2H,WEAK
range_continuation,1154,all_rows,0.09185441941074524,0.212636568457539,0.13680571242634315,0.08341718504546014,0.05338852738088301,-0.6400183289784676,0.48636642956551707,0.30680740688506913,0.17955902268044793,0.526659045081377,0.0930029372480457,0.1694570190641248,4H,NO EDGE
range_continuation,1106,all_rows,0.08770343580470162,0.20725913200723328,0.13084127835443038,0.0800115431527522,0.050829735201678175,-0.6352800258412433,0.46559172129754656,0.2971919628674342,0.16839975843011235,0.5525170373851829,0.09378177591946776,0.1631097649186257,8H,WEAK
range_continuation,1058,all_rows,0.046313799621928164,0.21027627599243856,0.11358965082230624,0.04416883158650805,0.06942081923579818,-1.5717150927986894,0.40968699695702754,0.18751496010802526,0.22217203684900227,0.48571024048866324,0.04678556127811542,0.19585756143667296,12H,NO EDGE
range_continuation,915,all_rows,0.020765027322404372,0.2249432786885246,0.11338516243715847,0.020333840962704172,0.0930513214744543,-4.576180252669761,0.39298180724856224,0.10100171486054856,0.2919800923880137,0.3226914943609023,0.015186188512170984,0.226627868852459,24H,INVERTED
trend_continuation,1127,trend_continuation_eligible,0.36024844720496896,0.35163655723158826,0.24287047827861583,0.23046950349137765,0.012400974787238173,-0.05380744349849358,0.7004964561927607,0.6535610084667934,0.04693544772596725,0.5511963406052076,0.3872983789088667,0.10666335403726704,1H,WEAK
trend_continuation,1115,trend_continuation_eligible,0.3847533632286996,0.35139587443946185,0.24814136157847536,0.23671821271290394,0.011423148865571414,-0.048256315957511946,0.7183028643837392,0.6663432526475137,0.05195961173622554,0.5949373755496205,0.42971816862622797,0.09610385650224215,2H,WEAK
trend_continuation,1091,trend_continuation_eligible,0.384967919340055,0.3512414298808433,0.2540058989000916,0.2367676204190439,0.017238278481047725,-0.07280673958093807,0.7207541146967971,0.6664438725017122,0.054310242195084846,0.5274057909303811,0.39615702257377605,0.1378658111824015,4H,NO EDGE
trend_continuation,1046,trend_continuation_eligible,0.5745697896749522,0.3495388145315487,0.3028541500956023,0.24443934646783338,0.05841480362776891,-0.23897463510628356,0.8280020286334774,0.681984274434011,0.1460177541994664,0.5958197012469854,0.625900170646234,0.25465315487571705,8H,WEAK
trend_continuation,998,trend_continuation_eligible,0.5751503006012024,0.34801933867735474,0.2843550061222445,0.24435243231954892,0.04000257380269559,-0.16370851488141813,0.7780970653447774,0.6818091295120841,0.09628793583269335,0.6696038228913287,0.7074466240395123,0.23666002004008016,12H,WEAK
trend_continuation,862,trend_continuation_eligible,0.6310904872389791,0.3488440835266821,0.30058147303944316,0.23281528415544706,0.0677661888839961,-0.29107276667776544,0.8029007129892581,0.6583727532463741,0.14452795974288402,0.6556748288938217,0.7714839125124641,0.2822464037122969,24H,WEAK
