event,horizon,spacing_minutes,n,eligible_rule,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece
mean_reversion,1H,60,93,mean_reversion_eligible,0.23655913978494625,0.9564215053763441,0.7253012787096774,0.18059891316915247,0.544702365540525,-3.0160888345454553,8.64660562956488,0.5470811571982415,8.099524472366639,0.2026248399487836,0.1534209782305788,0.726832258064516
upside_breakout,1H,60,95,all_rows,0.5052631578947369,0.46931263157894737,0.3015423447368421,0.24997229916897507,0.05157004556786704,-0.20630304133421987,0.9098942372407218,0.6930917778747354,0.2168024593659864,0.5261524822695035,0.5134057147240338,0.21587684210526317
downside_breakdown,1H,60,95,all_rows,0.6210526315789474,0.2309642105263158,0.40158929894736844,0.23534626038781165,0.1662430385595568,-0.7063763761770245,1.097826723872671,0.6635464602862524,0.4342802635864187,0.3693502824858757,0.5513314334835371,0.41683789473684213
range_continuation,1H,60,95,all_rows,0.05263157894736842,0.2153936842105263,0.11363725557894737,0.04986149584487535,0.06377575973407201,-1.2790582924444442,0.7079092269929662,0.20619205063323176,0.5017171763597345,0.4855555555555556,0.0657484270115849,0.187701052631579
trend_continuation,1H,60,92,trend_continuation_eligible,0.31521739130434784,0.35032826086956526,0.25221540673913045,0.21585538752362946,0.036360019215501,-0.1684461973946363,0.7512674844480504,0.6232117636547545,0.12805572079329586,0.4458128078817734,0.2838571388560572,0.12318043478260868
mean_reversion,2H,120,48,mean_reversion_eligible,0.2916666666666667,0.9531270833333334,0.664258304375,0.2065972222222222,0.4576610821527778,-2.215233473277311,8.181825784098319,0.6036372515003262,7.578188532597992,0.19642857142857142,0.19817800935599966,0.6614604166666667
upside_breakout,2H,120,49,all_rows,0.5714285714285714,0.46468979591836734,0.29219057591836733,0.24489795918367346,0.04729261673469387,-0.19311151833333332,0.8332554243631791,0.6829081047004717,0.15034731966270742,0.5595238095238095,0.6453925843266252,0.22624489795918365
downside_breakdown,2H,120,49,all_rows,0.5714285714285714,0.23155102040816328,0.3567979457142857,0.24489795918367346,0.11189998653061223,-0.4569249449999999,0.9375729601729632,0.6829081047004717,0.2546648554724915,0.48554421768707484,0.5734192427362812,0.3403510204081633
range_continuation,2H,120,49,all_rows,0.08163265306122448,0.22567755102040815,0.13489535836734695,0.07496876301541025,0.0599265953519367,-0.799354196888889,0.590735009883312,0.2827388800668725,0.3079961298164395,0.4888888888888889,0.13178474641889276,0.23325714285714289
trend_continuation,2H,120,45,trend_continuation_eligible,0.37777777777777777,0.34010666666666667,0.2615732622222222,0.23506172839506173,0.026511533827160483,-0.11278541176470583,0.8081150070029981,0.662965753462289,0.14514925354070907,0.6827731092436975,0.4851813773041395,0.13872444444444443
mean_reversion,4H,240,23,mean_reversion_eligible,0.391304347826087,0.9409304347826087,0.5822225182608696,0.23818525519848774,0.3440372630623818,-1.4444104139682536,9.286183028269207,0.6693279632926454,8.616855064976562,0.1746031746031746,0.2786984295756226,0.5987391304347824
upside_breakout,4H,240,24,all_rows,0.7083333333333334,0.45908333333333334,0.2762518491666666,0.2065972222222222,0.06965462694444441,-0.33715180773109227,0.7408697314478433,0.6036372515003262,0.13723247994751708,0.6050420168067226,0.8273661222342066,0.2874333333333333
downside_breakdown,4H,240,24,all_rows,0.4583333333333333,0.24368750000000003,0.28828448458333333,0.24826388888888892,0.04002059569444441,-0.16120183999999985,0.7896017103962881,0.6896709283570267,0.09993078203926142,0.5664335664335665,0.6216117216117216,0.2146458333333333
range_continuation,4H,240,24,all_rows,0.125,0.23969166666666666,0.18297101583333333,0.109375,0.07359601583333333,-0.6728778590476191,0.6847774432839732,0.37677016125643675,0.3080072820275364,0.4603174603174603,0.14722222222222223,0.18003333333333332
trend_continuation,4H,240,23,trend_continuation_eligible,0.43478260869565216,0.3467434782608696,0.26939965782608694,0.2457466918714556,0.023652965954631344,-0.0962493768461537,0.7387130591493076,0.6846162778013046,0.054096781348003,0.4346153846153846,0.4735977329008019,0.19469130434782614
mean_reversion,8H,480,11,mean_reversion_eligible,0.2727272727272727,0.9202454545454546,0.6498725663636363,0.1983471074380165,0.4515254589256198,-2.276440855416667,8.507982050096,0.5859526183035508,7.922029431792449,0.3333333333333333,0.26666666666666666,0.6475181818181819
upside_breakout,8H,480,12,all_rows,0.8333333333333334,0.41015,0.36845448166666667,0.1388888888888889,0.22956559277777777,-1.6528722679999999,0.947047233727432,0.4505612088663047,0.49648602486112736,0.35,0.8362626262626263,0.5123
downside_breakdown,8H,480,12,all_rows,0.3333333333333333,0.24380000000000002,0.25225060666666665,0.22222222222222224,0.030028384444444417,-0.13512772999999986,0.714958889049918,0.6365141682948128,0.07844472075510522,0.296875,0.2998376623376623,0.15928333333333328
range_continuation,8H,480,12,all_rows,0.16666666666666666,0.29875,0.24313041333333332,0.1388888888888889,0.10424152444444443,-0.7505389759999999,1.0075149101881073,0.4505612088663047,0.5569537013218027,0.35,0.19090909090909092,0.38908333333333334
trend_continuation,8H,480,11,trend_continuation_eligible,0.6363636363636364,0.3279818181818182,0.37832692363636367,0.23140495867768596,0.1469219649586777,-0.6349127771428572,0.9765342356555009,0.6554817739013927,0.3210524617541082,0.21428571428571427,0.5376211090496804,0.482309090909091
mean_reversion,12H,720,8,mean_reversion_eligible,0.5,0.90555,0.50763181,0.25,0.25763181,-1.03052724,6.334170029944921,0.6931471805599453,5.641022849384975,0.0,0.36547619047619045,0.562325
upside_breakout,12H,720,8,all_rows,0.875,0.3927125,0.39402731874999997,0.109375,0.28465231874999997,-2.6025354857142853,1.0177985334101836,0.37677016125643675,0.6410283721537469,0.42857142857142855,0.9093537414965985,0.4822875
downside_breakdown,12H,720,8,all_rows,0.25,0.2729,0.153588675,0.1875,-0.03391132499999999,0.18086039999999995,0.47974304978707893,0.5623351446188083,-0.08259209483172936,0.9166666666666666,0.8333333333333333,0.170775
range_continuation,12H,720,8,all_rows,0.125,0.2965125,0.14802296625,0.109375,0.03864796625,-0.3533528342857143,0.43004684312182845,0.37677016125643675,0.053276681865391695,0.7142857142857143,0.3333333333333333,0.3111375
trend_continuation,12H,720,8,trend_continuation_eligible,0.375,0.3346875,0.25587638375,0.234375,0.02150138374999999,-0.09173923733333329,0.7096545248149079,0.661563238157982,0.04809128665692586,0.3333333333333333,0.36507936507936506,0.25473749999999995
mean_reversion,24H,1440,4,mean_reversion_eligible,0.5,0.8844,0.49131860499999996,0.25,0.24131860499999996,-0.9652744199999999,2.442872989426139,0.6931471805599453,1.7497258088661938,0.0,0.41666666666666663,0.58285
upside_breakout,24H,1440,4,all_rows,0.75,0.38095,0.359742075,0.1875,0.172242075,-0.9186244,0.9458756244810597,0.5623351446188083,0.38354047986225137,0.3333333333333333,0.8055555555555555,0.5785
downside_breakdown,24H,1440,4,all_rows,0.0,0.20785,0.045135285,0.0,0.045135285,,0.23454866359938284,,,,,0.20785
range_continuation,24H,1440,4,all_rows,0.25,0.33290000000000003,0.225539375,0.1875,0.038039374999999986,-0.2028766666666666,0.6057013602078768,0.5623351446188083,0.0433662155890685,0.3333333333333333,0.3333333333333333,0.23115
trend_continuation,24H,1440,4,trend_continuation_eligible,0.75,0.348325,0.3167239275,0.1875,0.1292239275,-0.68919428,0.8343094654649356,0.5623351446188083,0.27197432084612727,0.6666666666666666,0.9166666666666666,0.401675
