event,horizon,live_n,backtest_n,live_base_rate,backtest_base_rate,live_mean_predicted_probability,backtest_mean_predicted_probability,live_brier,backtest_brier,live_brier_delta_model_minus_base,backtest_brier_delta_model_minus_base,live_auc,backtest_auc,live_pr_auc,backtest_pr_auc,classification
mean_reversion,1H,1157,3679,0.21780466724286948,0.337048110899701,0.9589229040622299,0.9275396846969286,0.7430707680034573,0.6238965784262027,0.5727049738333649,0.40044989658755886,0.20562132772077524,0.18408142549167428,0.13448803360637068,0.2117822244451226,CONFIRMS BACKTEST FAILURE
mean_reversion,2H,1145,3679,0.3074235807860262,0.46153846153846156,0.9586329257641922,0.9275396846969286,0.6629240486026201,0.5134933710328894,0.4500097258398963,0.26497266097371774,0.18699486988421415,0.22320124218949275,0.19367186620515764,0.31775172694427617,CONFIRMS BACKTEST FAILURE
mean_reversion,4H,1121,3679,0.3835860838537021,0.5879315031258494,0.9588884032114184,0.9275396846969286,0.5981309621855486,0.3989667061783093,0.36168316205806594,0.15669865542028058,0.16020765321576413,0.25140038083527594,0.24270711821625024,0.44257182635993136,CONFIRMS BACKTEST FAILURE
mean_reversion,8H,1074,3679,0.4273743016759777,0.6974721391682522,0.9619677839851023,0.9275396846969286,0.5629710857728119,0.2966411285756999,0.31824557782986373,0.0856363743233855,0.1414474732982624,0.28340962997355,0.27150409115764,0.5756477073651792,CONFIRMS BACKTEST FAILURE
mean_reversion,12H,1026,3679,0.4444444444444444,0.7583582495243273,0.9612390838206628,0.9275396846969286,0.5497988765204679,0.24016121555585757,0.3028852962735543,0.0569102006531321,0.11125923361034164,0.29997056819510465,0.27882623106321874,0.6674424681775125,CONFIRMS BACKTEST FAILURE
mean_reversion,24H,883,3679,0.5152887882219706,0.8252242457189454,0.9563944507361268,0.9275396846969286,0.48085642096262743,0.1776544474123403,0.23109016800792367,0.033425257415797244,0.10181267330800041,0.313860680645115,0.33425225394539526,0.7542677803940615,CONFIRMS BACKTEST FAILURE
upside_breakout,1H,1190,4206,0.5546218487394958,0.6378982406086543,0.4683464705882353,0.3101129814550642,0.30343826348739494,0.3642837756395625,0.056421809847115284,0.13329970040252478,0.5150843339050887,0.46638363333838284,0.555492078130222,0.6194561142074453,CONFIRMS BACKTEST FAILURE
upside_breakout,2H,1178,4206,0.6162988115449916,0.6274369947693771,0.4684723259762309,0.3101129814550642,0.30773641916808153,0.3590475892391821,0.07126183273485898,0.12528777687503234,0.5103381969331285,0.4743224998929948,0.6221292979798096,0.6139771008676198,CONFIRMS BACKTEST FAILURE
upside_breakout,4H,1154,4206,0.6932409012131716,0.6229196386115073,0.4706430675909879,0.3101129814550642,0.32788631721837086,0.3575824917593914,0.11522836312004961,0.12269172931577496,0.46867408192090393,0.46928263045926666,0.6685305137457149,0.608813011524521,CONFIRMS BACKTEST FAILURE
upside_breakout,8H,1106,4206,0.810126582278481,0.6350451735615787,0.47793047016274864,0.3101129814550642,0.3284510923056058,0.35794687597242036,0.17462958934133727,0.12618407487469727,0.43953815901360543,0.4941355883009328,0.7977424469003577,0.6360134485031749,CONFIRMS BACKTEST FAILURE
