feature,12H,1H,24H,2H,4H,8H
adx_14b,133.125,97.011,101.863,111.269,137.709,133.798
adx_24b,132.982,95.242,98.977,103.296,133.713,123.625
adx_48b,94.005,92.563,87.671,87.372,125.351,92.097
aroon_down_14b,117.762,93.276,55.087,91.305,121.868,126.01
aroon_down_24b,120.497,70.553,65.259,64.835,124.644,122.253
aroon_down_48b,124.492,68.19,87.925,79.258,100.452,69.754
aroon_osc_14b,70.414,75.463,53.081,75.385,80.203,76.834
aroon_osc_24b,100.493,69.473,55.626,68.204,106.478,105.205
aroon_osc_48b,122.21,57.038,59.172,74.978,120.696,106.799
aroon_up_14b,65.179,71.714,60.316,69.857,68.063,57.446
aroon_up_24b,70.034,64.783,52.895,66.02,76.607,78.002
aroon_up_48b,95.075,80.366,64.553,78.796,100.93,103.568
atr_12b,149.831,113.307,156.162,121.614,135.405,144.592
atr_24b,139.337,99.4,142.672,109.51,123.739,142.918
atr_288b,99.356,78.782,113.453,76.19,88.021,85.376
atr_48b,131.432,89.445,136.425,99.576,114.558,124.651
atr_6b,134.305,92.421,139.603,102.566,115.759,126.595
atr_96b,119.187,76.29,123.148,90.998,97.584,107.582
atr_pct_12b,147.884,103.204,145.78,111.392,134.152,142.197
atr_pct_24b,136.582,97.737,139.477,106.205,121.782,131.579
atr_pct_288b,91.579,79.162,101.211,72.954,97.712,87.577
atr_pct_48b,126.931,87.57,124.499,95.223,113.014,121.829
atr_pct_6b,132.533,90.684,136.992,101.338,115.703,125.653
atr_pct_96b,113.556,80.722,119.042,87.89,97.665,101.98
atr_slope_12b,123.232,83.199,55.456,78.711,66.994,135.288
atr_slope_24b,120.188,76.998,102.227,87.574,102.139,102.487
atr_slope_288b,126.324,76.648,98.127,73.957,130.65,79.08
atr_slope_48b,132.602,111.005,134.395,127.887,145.973,129.888
atr_slope_6b,104.628,97.521,58.005,88.772,79.378,96.991
atr_slope_96b,147.472,115.376,155.978,126.036,122.937,148.57
bb_keltner_width_ratio_20b,131.984,92.973,100.626,105.952,136.968,124.16
bb_keltner_width_ratio_48b,141.743,95.725,107.219,101.283,145.279,129.936
bb_keltner_width_ratio_96b,131.223,85.822,92.599,84.285,134.168,116.126
body_range_ratio,110.432,94.866,57.127,69.403,78.986,54.689
