feature,target,regime,horizon,n,auc_oriented
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,12H,163,0.6755238384451867
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,1H,163,0.5485658409387223
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,24H,163,0.6367521367521367
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,2H,163,0.5474885844748858
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,4H,163,0.5474683544303798
atr_slope_96b,upside_breakout_occurred,HIGH_VOL,8H,163,0.5903050437934159
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,12H,1024,0.5656788566624632
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,1H,1024,0.5341091154397504
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,24H,1024,0.5704934393988317
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,2H,1024,0.5284000993970783
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,4H,1016,0.5312410841654779
atr_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,8H,1016,0.5374694933416415
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,12H,2314,0.603343305963373
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,1H,2314,0.5369046330699951
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,24H,2314,0.6154004862680638
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,2H,2314,0.5605227301562785
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,4H,2303,0.5785662138141188
atr_slope_96b,upside_breakout_occurred,NORMAL_RANGE,8H,2303,0.6154545822047944
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,12H,190,0.6570855614973262
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,1H,190,0.61300754581387
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,24H,190,0.643716577540107
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,2H,190,0.5961090400745573
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,4H,189,0.5734177215189873
atr_slope_96b,upside_breakout_occurred,TREND_DOWN,8H,189,0.6324257425742574
atr_slope_96b,upside_breakout_occurred,TREND_UP,12H,179,0.6461030718456461
atr_slope_96b,upside_breakout_occurred,TREND_UP,1H,179,0.5255994005994006
atr_slope_96b,upside_breakout_occurred,TREND_UP,24H,179,0.5936563436563437
atr_slope_96b,upside_breakout_occurred,TREND_UP,2H,179,0.5338345864661654
atr_slope_96b,upside_breakout_occurred,TREND_UP,4H,179,0.5911538461538461
atr_slope_96b,upside_breakout_occurred,TREND_UP,8H,179,0.6651282051282051
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,12H,324,0.6874063308960443
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,1H,324,0.6034934497816593
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,24H,324,0.6872051886792453
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,2H,324,0.5782011919812173
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,4H,319,0.5993607305936073
atr_slope_96b,upside_breakout_occurred,VOLATILITY_EXPANSION,8H,319,0.6308856502242153
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,12H,163,0.5251444104655114
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,1H,163,0.6390572390572391
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,24H,163,0.5696568127760788
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,2H,163,0.6195540308747856
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,4H,163,0.5642678123881131
atr_slope_96b,downside_breakdown_occurred,HIGH_VOL,8H,163,0.5970873786407767
atr_slope_96b,downside_breakdown_occurred,LOW_VOL_RANGE,12H,1024,0.584199093899336
