feature,family,cluster,target,horizon,n,base_rate,auc,auc_oriented,pr_auc,pearson,spearman,top_bottom_spread,top_lift,bottom_lift,monotonic_steps,temporal_stable,temporal_min_abs_auc_edge,regime_support_count,direction,incremental_brier_improvement,cluster_rank,research_score
atr_12b,Volatility,volatility,realized_over_range_width_ge_1,24H,4206,0.884450784593438,0.19919022965617947,0.8008097703438205,0.7734292011537968,-0.402848536249424,-0.33312170972716926,-0.3068129503108221,-0.22095494630568524,0.08585800400513688,-2,True,0.29953721889423546,6,lower_increases_target,0.015716797513804892,1.0,156.162
atr_slope_96b,Volatility,volatility,realized_over_range_width_ge_1,24H,4206,0.884450784593438,0.200111730607549,0.799888269392451,0.7775142556351086,-0.32573268832037744,-0.3321012035401491,-0.31512931387529275,-0.22333306758987082,0.09179624628542193,-4,True,0.2498977053258699,6,lower_increases_target,0.016649581446443115,2.0,155.978
rv_slope_96b,Volatility,volatility,realized_over_range_width_ge_1,24H,4206,0.884450784593438,0.20987654320987653,0.7901234567901234,0.7792598721361449,-0.2931170565550739,-0.321287489405392,-0.3032429440124724,-0.21500964309522153,0.0882333009172509,-4,True,0.22782660643556252,6,lower_increases_target,0.014612698323497,3.0,154.025
atr_12b,Volatility,volatility,realized_over_range_width_ge_1,12H,4206,0.8604374702805516,0.23084675663602047,0.7691532433639795,0.7497295701690309,-0.36591926221812593,-0.32309806261643975,-0.3270382787146847,-0.2266681480451176,0.10037013066956713,-4,True,0.2829000610780272,6,lower_increases_target,0.01585550745256488,1.0,149.831
atr_slope_96b,Volatility,volatility,range_breached,24H,4206,0.9524488825487399,0.16431977034448328,0.8356802296555167,0.8917261109178328,-0.24814655405898178,-0.24746717517062097,-0.15934118697060673,-0.11772831179963172,0.041612875170975006,-4,True,0.2772641243506624,6,lower_increases_target,0.004810505062214247,1.0,149.07
atr_slope_96b,Volatility,volatility,range_held,24H,4206,0.0475511174512601,0.8356802296555167,0.8356802296555167,0.21088881640410803,0.24814655405898184,0.24746717517062097,0.15934118697060676,0.11772831179963168,-0.04161287517097507,4,True,0.2772641243506624,6,higher_increases_target,0.004810505062214247,1.0,149.07
atr_slope_96b,Volatility,volatility,path_inside_70,24H,4206,0.0475511174512601,0.8356802296555167,0.8356802296555167,0.21088881640410803,0.24814655405898184,0.24746717517062097,0.15934118697060676,0.11772831179963168,-0.04161287517097507,4,True,0.2772641243506624,6,higher_increases_target,0.004810505062214247,1.0,149.07
atr_slope_96b,Volatility,volatility,max_abs_excursion_ge_1_5_atr,8H,4181,0.999282468309017,0.009175043880644647,0.9908249561193554,0.9966468642540962,-0.060289452699185155,-0.04552835400956664,-0.0035885167464114742,-0.0028709850554284877,0.0007175316909829865,-1,True,0.4806173725771716,3,lower_increases_target,4.6348972507823495e-06,1.0,148.57
atr_pct_12b,Volatility,volatility,realized_over_range_width_ge_1,12H,4206,0.8604374702805516,0.24057866089110425,0.7594213391088958,0.7535537436992018,-0.35254400226349325,-0.31141562988977656,-0.30206941741677285,-0.20288693520326273,0.09918248221351011,-4,True,0.2855970377156818,6,lower_increases_target,0.014513571997841798,2.0,147.884
atr_slope_96b,Volatility,volatility,realized_over_range_width_ge_1,12H,4206,0.8604374702805516,0.24264187731511666,0.7573581226848833,0.7546386110262988,-0.29100325614508005,-0.30893889513957756,-0.3104041393997079,-0.22072284483465388,0.08968129456505403,-2,True,0.24167811879676288,6,lower_increases_target,0.016436842856396836,3.0,147.472
