feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
atr_12b,realized_over_range_width_ge_1,24H,3,True,0.29953721889423546,"[-0.34486548089055313, -0.3967136150234742, -0.29953721889423546]"
atr_slope_96b,realized_over_range_width_ge_1,24H,3,True,0.2498977053258699,"[-0.34704302169400464, -0.32592508455752434, -0.2498977053258699]"
rv_slope_96b,realized_over_range_width_ge_1,24H,3,True,0.22782660643556252,"[-0.3376256664902927, -0.3329673380786511, -0.22782660643556252]"
atr_12b,realized_over_range_width_ge_1,12H,3,True,0.2829000610780272,"[-0.321141473538568, -0.3007225104279856, -0.2829000610780272]"
atr_slope_96b,range_breached,24H,3,True,0.2772641243506624,"[-0.40989349775784756, -0.3610598376373183, -0.2772641243506624]"
atr_slope_96b,range_held,24H,3,True,0.2772641243506624,"[0.40989349775784756, 0.3610598376373183, 0.2772641243506624]"
atr_slope_96b,path_inside_70,24H,3,True,0.2772641243506624,"[0.40989349775784756, 0.3610598376373183, 0.2772641243506624]"
atr_slope_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4806173725771716,"[-0.4985632183908046, -0.4892318736539842, -0.4806173725771716]"
atr_pct_12b,realized_over_range_width_ge_1,12H,3,True,0.2855970377156818,"[-0.3126830393174219, -0.2930483017280662, -0.2855970377156818]"
atr_slope_96b,realized_over_range_width_ge_1,12H,3,True,0.24167811879676288,"[-0.2914539375072063, -0.24423393739703458, -0.24167811879676288]"
roc_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.48133524766690594,"[-0.49353448275862066, -0.4913854989231874, -0.48133524766690594]"
return_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.48133524766690594,"[-0.49353448275862066, -0.4913854989231874, -0.48133524766690594]"
ema_spread_atr_12_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.44974874371859297,"[-0.4985632183908046, -0.49353912419239054, -0.44974874371859297]"
rv_slope_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.44974874371859297,"[-0.492816091954023, -0.44974874371859297, -0.49066762383345297]"
di_spread_24b,fast_1atr_touch,4H,1,True,0.4978448275862069,[-0.4978448275862069]
atr_slope_48b,fast_1atr_touch,4H,1,True,0.4978448275862069,[-0.4978448275862069]
plus_di_24b,fast_1atr_touch,4H,1,True,0.4978448275862069,[-0.4978448275862069]
atr_pct_12b,realized_over_range_width_ge_1,24H,3,True,0.30179383940554516,"[-0.34111583703040416, -0.3884219294260185, -0.30179383940554516]"
rolling_vwap_z_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4562096195262024,"[-0.4978448275862069, -0.4827709978463747, -0.4562096195262024]"
ema_spread_atr_12_48b,fast_1atr_touch,4H,1,True,0.49748563218390807,[-0.49748563218390807]
plus_di_48b,fast_1atr_touch,4H,1,True,0.49604885057471265,[-0.49604885057471265]
sma_slope_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.46554199569274946,"[-0.4985632183908046, -0.4971284996410625, -0.46554199569274946]"
ema_dist_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4691313711414214,"[-0.492816091954023, -0.4885139985642498, -0.4691313711414214]"
bb_keltner_width_ratio_48b,fast_1atr_touch,4H,1,True,0.49353448275862066,[-0.49353448275862066]
rv_slope_96b,path_inside_70,24H,3,True,0.25227318487496475,"[0.39635883781763825, 0.35498467769394815, 0.25227318487496475]"
rv_slope_96b,range_held,24H,3,True,0.25227318487496475,"[0.39635883781763825, 0.35498467769394815, 0.25227318487496475]"
rv_slope_96b,range_breached,24H,3,True,0.25227318487496475,"[-0.39635883781763825, -0.35498467769394815, -0.25227318487496475]"
rolling_vwap_z_96b,fast_1atr_touch,4H,1,True,0.49353448275862066,[-0.49353448275862066]
sma_dist_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4676956209619526,"[-0.4956896551724138, -0.4899497487437186, -0.4676956209619526]"
atr_12b,realized_over_range_width_ge_1,8H,3,True,0.25520638138393925,"[-0.29728688385849567, -0.25520638138393925, -0.25577962187850634]"
atr_12b,path_inside_70,24H,3,True,0.32541779084283007,"[0.38533492152466364, 0.4194369276536263, 0.32541779084283007]"
atr_12b,range_held,24H,3,True,0.32541779084283007,"[0.38533492152466364, 0.4194369276536263, 0.32541779084283007]"
atr_12b,range_breached,24H,3,True,0.32541779084283007,"[-0.38533492152466364, -0.4194369276536263, -0.32541779084283007]"
mfi_96b,fast_1atr_touch,4H,1,True,0.48670977011494254,[-0.48670977011494254]
rolling_low_dist_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.477745872218234,"[-0.48419540229885055, -0.4885139985642498, -0.477745872218234]"
macd_hist_24_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4533381191672649,"[-0.4956896551724138, -0.4899497487437186, -0.4533381191672649]"
macd_hist_24_96b,fast_1atr_touch,4H,1,True,0.4964080459770115,[-0.4964080459770115]
return_12b,fast_1atr_touch,4H,1,True,0.49389367816091956,[-0.49389367816091956]
roc_12b,fast_1atr_touch,4H,1,True,0.49389367816091956,[-0.49389367816091956]
price_efficiency_96b,fast_1atr_touch,4H,1,True,0.4859913793103448,[-0.4859913793103448]
bollinger_bandwidth_20b,realized_over_range_width_ge_1,24H,3,True,0.28166224753674424,"[-0.3150616630713501, -0.3689358372456964, -0.28166224753674424]"
atr_24b,realized_over_range_width_ge_1,8H,3,True,0.24802817621205409,"[-0.2780687922602026, -0.24802817621205409, -0.2589638230327075]"
atr_24b,realized_over_range_width_ge_1,24H,3,True,0.2916748502405971,"[-0.33349953193048154, -0.36309568882831034, -0.2916748502405971]"
atr_pct_12b,realized_over_range_width_ge_1,8H,3,True,0.2549274300705257,"[-0.2939172034102146, -0.2549274300705257, -0.2580007122807152]"
mfi_24b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3987796123474515,"[-0.4964080459770115, -0.4705671213208902, -0.3987796123474515]"
rolling_vwap_dist_96b,fast_1atr_touch,4H,1,True,0.4906609195402299,[-0.4906609195402299]
