strategy_family,use_case,feature,horizon,direction,auc_oriented,lift_spread,research_score,class
grid,oscillatory_path,atr_pct_24b,24H,lower_increases_target,0.5895306541991063,-0.1931856375031421,99.225,candidate
grid,oscillatory_path,atr_24b,24H,lower_increases_target,0.5892593831633017,-0.18843221930684256,98.695,candidate
grid,oscillatory_path,keltner_width_48b,24H,lower_increases_target,0.5893219665697063,-0.18605974676680004,98.47,candidate
grid,oscillatory_path,rv_48b,24H,lower_increases_target,0.5886110099199848,-0.18366891580829292,94.089,candidate
grid,oscillatory_path,rv_24b,24H,lower_increases_target,0.5858017357685106,-0.1824925648405218,93.41,candidate
grid,oscillatory_path,rv_96b,24H,lower_increases_target,0.5875071621960528,-0.16584147929311616,92.086,candidate
grid,oscillatory_path,atr_pct_96b,24H,lower_increases_target,0.5861138519159904,-0.16823513462369483,92.046,candidate
grid,oscillatory_path,keltner_width_96b,24H,lower_increases_target,0.5868602763097437,-0.16585701333950936,91.958,candidate
grid,oscillatory_path,atr_pct_48b,24H,lower_increases_target,0.5891970285810523,-0.18843504367891406,90.683,candidate
grid,oscillatory_path,atr_96b,24H,lower_increases_target,0.5853407695081745,-0.15277593409045337,90.346,candidate
grid,oscillatory_path,keltner_width_20b,24H,lower_increases_target,0.5879229356857677,-0.1836830376686503,89.953,candidate
grid,oscillatory_path,atr_288b,24H,lower_increases_target,0.5837806464190851,-0.15162076591321838,89.918,candidate
grid,oscillatory_path,atr_48b,24H,lower_increases_target,0.5890013839284898,-0.1765514981881653,89.455,candidate
grid,oscillatory_path,rv_12b,24H,lower_increases_target,0.5791443258016625,-0.19317857657296345,89.147,candidate
grid,oscillatory_path,atr_12b,24H,lower_increases_target,0.5845957180593515,-0.17893244384442225,88.812,candidate
grid,oscillatory_path,dema_dist_288b,24H,lower_increases_target,0.5456805356966683,-0.1350059737156511,88.637,candidate
grid,oscillatory_path,atr_pct_12b,24H,lower_increases_target,0.5852472948408391,-0.1706076071637373,88.11,candidate
grid,oscillatory_path,atr_pct_288b,24H,lower_increases_target,0.5825309232963126,-0.13378768065389862,87.885,candidate
grid,oscillatory_path,rv_288b,24H,lower_increases_target,0.5784095714398165,-0.14089944952988326,87.772,candidate
grid,oscillatory_path,bollinger_bandwidth_48b,24H,lower_increases_target,0.5650199260074212,-0.16583583054897322,87.588,candidate
grid,oscillatory_path,rolling_low_dist_96b,24H,lower_increases_target,0.5571987163880199,-0.13259297126766295,86.699,candidate
grid,oscillatory_path,atr_pct_6b,24H,lower_increases_target,0.5770850228183447,-0.17059630967545136,86.477,candidate
grid,oscillatory_path,atr_6b,24H,lower_increases_target,0.5755478965568372,-0.17060619497770152,86.17,candidate
grid,oscillatory_path,rolling_low_dist_48b,24H,lower_increases_target,0.5495884826395689,-0.12307060082867077,84.225,candidate
grid,oscillatory_path,true_range,24H,lower_increases_target,0.5584826487219714,-0.13968638172518294,83.665,candidate
grid,trend_efficiency_high,bb_keltner_width_ratio_96b,24H,lower_increases_target,0.5492811150084773,-0.11027619534486999,86.884,candidate
grid,trend_efficiency_high,price_efficiency_48b,24H,lower_increases_target,0.5499462206008612,-0.09481134606748554,85.47,candidate
grid,trend_efficiency_high,adx_48b,12H,lower_increases_target,0.5504558872607859,-0.08887027941512901,84.978,candidate
grid,trend_efficiency_high,roc_288b,8H,higher_increases_target,0.5430845564865986,0.09223388382980911,83.84,candidate
grid,trend_efficiency_high,return_288b,8H,higher_increases_target,0.5430845564865986,0.09223388382980911,83.84,candidate
grid,trend_efficiency_high,ema_spread_24_96b,24H,higher_increases_target,0.5477895478948726,0.08221323444265255,83.779,candidate
grid,trend_efficiency_high,atr_slope_288b,4H,higher_increases_target,0.5444057823016687,0.06118628274825219,80.996,candidate
grid,trend_efficiency_high,choppiness_96b,24H,higher_increases_target,0.545205902577191,0.07390675618043219,80.553,candidate
grid,trend_efficiency_high,rv_slope_288b,4H,higher_increases_target,0.5490129334323001,0.03726998336505977,79.53,candidate
grid,trend_efficiency_high,aroon_up_48b,2H,lower_increases_target,0.5469179191884068,-0.06396496648882535,78.193,candidate
grid,trend_efficiency_high,macd_hist_slope_48_288b,12H,lower_increases_target,0.5460126228683007,-0.07584568760750265,77.793,candidate
