strategy_family,use_case,feature,horizon,direction,auc_oriented,lift_spread,research_score,class
ironfly,path_inside_70,atr_slope_96b,24H,higher_increases_target,0.8356802296555167,0.15934118697060676,149.07,candidate
ironfly,path_inside_70,rv_slope_96b,24H,higher_increases_target,0.8185983524712931,0.15458070784412856,145.178,candidate
ironfly,path_inside_70,atr_12b,24H,higher_increases_target,0.8182351472790814,0.1462671686517295,144.274,candidate
ironfly,path_inside_70,atr_12b,12H,higher_increases_target,0.7896429160231158,0.154589180960343,139.388,candidate
ironfly,path_inside_70,atr_12b,8H,higher_increases_target,0.7860916860916861,0.15551239617453538,138.77,candidate
ironfly,path_inside_70,atr_slope_96b,12H,higher_increases_target,0.7882139076410462,0.14745481710778652,138.388,candidate
ironfly,path_inside_70,atr_slope_96b,8H,higher_increases_target,0.7873326020384844,0.14116261654461992,137.583,candidate
ironfly,path_inside_70,atr_pct_12b,12H,higher_increases_target,0.7821041511202124,0.1426985745394155,136.691,candidate
ironfly,path_inside_70,atr_pct_12b,8H,higher_increases_target,0.777926322043969,0.14474684593530093,136.06,candidate
ironfly,path_inside_70,atr_pct_12b,24H,higher_increases_target,0.8052346480279581,0.13794374415708027,132.841,candidate
ironfly,path_inside_70,atr_24b,24H,higher_increases_target,0.7973159011482776,0.1331875015887093,130.782,candidate
ironfly,path_inside_70,bollinger_bandwidth_20b,24H,higher_increases_target,0.7924987518721918,0.13437373785873055,129.937,candidate
ironfly,path_inside_70,atr_12b,4H,higher_increases_target,0.7641518896207569,0.1088559619968788,129.716,candidate
ironfly,path_inside_70,rv_12b,24H,higher_increases_target,0.789362206689965,0.13556562287289478,129.429,candidate
ironfly,path_inside_70,atr_6b,24H,higher_increases_target,0.7917392661008488,0.12843267120637403,129.191,candidate
ironfly,path_inside_70,keltner_width_20b,24H,higher_increases_target,0.7911395406889665,0.12724219837824555,128.952,candidate
ironfly,path_inside_70,atr_slope_48b,24H,higher_increases_target,0.7816699950074888,0.137950805087259,128.129,candidate
ironfly,path_inside_70,rv_12b,4H,higher_increases_target,0.757334938130137,0.10646504661784797,128.113,candidate
ironfly,path_inside_70,atr_24b,8H,higher_increases_target,0.777271013300425,0.14474827505387777,127.929,candidate
ironfly,path_inside_70,atr_pct_12b,4H,higher_increases_target,0.7569708361156223,0.10526744525046731,127.921,candidate
ironfly,path_inside_70,atr_24b,12H,higher_increases_target,0.7757899406486993,0.14150951389732278,127.309,candidate
ironfly,path_inside_70,atr_pct_24b,24H,higher_increases_target,0.7827196704942586,0.12486407709406007,127.03,candidate
ironfly,path_inside_70,keltner_width_20b,8H,higher_increases_target,0.7737545134603958,0.1411611874260431,126.867,candidate
ironfly,path_inside_70,rv_12b,12H,higher_increases_target,0.7719215851309373,0.14150810171128703,126.535,candidate
ironfly,path_inside_70,atr_pct_6b,24H,higher_increases_target,0.7799600599101348,0.1224873679959103,126.241,candidate
ironfly,range_breached,atr_slope_96b,24H,lower_increases_target,0.8356802296555167,-0.15934118697060673,149.07,candidate
ironfly,range_breached,rv_slope_96b,24H,lower_increases_target,0.8185983524712931,-0.15458070784412858,145.178,candidate
ironfly,range_breached,atr_12b,24H,lower_increases_target,0.8182351472790814,-0.1462671686517295,144.274,candidate
ironfly,range_breached,atr_12b,12H,lower_increases_target,0.7896429160231158,-0.1545891809603429,139.388,candidate
ironfly,range_breached,atr_12b,8H,lower_increases_target,0.7860916860916861,-0.15551239617453538,138.77,candidate
ironfly,range_breached,atr_slope_96b,12H,lower_increases_target,0.7882139076410462,-0.14745481710778652,138.388,candidate
ironfly,range_breached,atr_slope_96b,8H,lower_increases_target,0.7873326020384844,-0.14116261654461992,137.583,candidate
ironfly,range_breached,atr_pct_12b,12H,lower_increases_target,0.7821041511202125,-0.14269857453941548,136.691,candidate
ironfly,range_breached,atr_pct_12b,8H,lower_increases_target,0.7779263220439692,-0.14474684593530096,136.06,candidate
ironfly,range_breached,atr_pct_12b,24H,lower_increases_target,0.8052346480279581,-0.13794374415708022,132.841,candidate
ironfly,range_breached,atr_24b,24H,lower_increases_target,0.7973159011482776,-0.1331875015887093,130.782,candidate
ironfly,range_breached,bollinger_bandwidth_20b,24H,lower_increases_target,0.7924987518721918,-0.13437373785873052,129.937,candidate
ironfly,range_breached,atr_12b,4H,lower_increases_target,0.7641518896207569,-0.10885596199687875,129.716,candidate
ironfly,range_breached,rv_12b,24H,lower_increases_target,0.789362206689965,-0.13556562287289475,129.429,candidate
ironfly,range_breached,atr_6b,24H,lower_increases_target,0.7917392661008487,-0.12843267120637403,129.191,candidate
ironfly,range_breached,keltner_width_20b,24H,lower_increases_target,0.7911395406889665,-0.12724219837824557,128.952,candidate
ironfly,range_breached,atr_slope_48b,24H,lower_increases_target,0.7816699950074888,-0.13795080508725888,128.129,candidate
ironfly,range_breached,rv_12b,4H,lower_increases_target,0.757334938130137,-0.10646504661784806,128.113,candidate
ironfly,range_breached,atr_24b,8H,lower_increases_target,0.777271013300425,-0.14474827505387766,127.929,candidate
ironfly,range_breached,atr_pct_12b,4H,lower_increases_target,0.7569708361156223,-0.10526744525046727,127.921,candidate
ironfly,range_breached,atr_24b,12H,lower_increases_target,0.7757899406486993,-0.1415095138973227,127.309,candidate
ironfly,range_breached,atr_pct_24b,24H,lower_increases_target,0.7827196704942586,-0.12486407709406,127.03,candidate
ironfly,range_breached,keltner_width_20b,8H,lower_increases_target,0.7737545134603958,-0.1411611874260431,126.867,candidate
ironfly,range_breached,rv_12b,12H,lower_increases_target,0.7719215851309373,-0.14150810171128703,126.535,candidate
ironfly,range_breached,atr_pct_6b,24H,lower_increases_target,0.7799600599101348,-0.12248736799591031,126.241,candidate
ironfly,max_abs_excursion_ge_1_5_atr,atr_slope_96b,8H,lower_increases_target,0.9908249561193554,-0.0035885167464114742,148.57,candidate
ironfly,max_abs_excursion_ge_1_5_atr,roc_24b,8H,lower_increases_target,0.9814105632679113,-0.0035885167464114742,146.687,candidate
ironfly,max_abs_excursion_ge_1_5_atr,return_24b,8H,lower_increases_target,0.9814105632679113,-0.0035885167464114742,146.687,candidate
ironfly,max_abs_excursion_ge_1_5_atr,ema_spread_atr_12_48b,8H,lower_increases_target,0.9810914313068454,-0.0035885167464114742,146.623,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rv_slope_96b,8H,lower_increases_target,0.9781394606669858,-0.0035885167464114742,146.033,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rolling_vwap_z_96b,8H,lower_increases_target,0.9767831498324557,-0.0035885167464114742,145.762,candidate
ironfly,max_abs_excursion_ge_1_5_atr,sma_slope_24b,8H,lower_increases_target,0.975825753949258,-0.0035885167464114742,145.57,candidate
ironfly,max_abs_excursion_ge_1_5_atr,ema_dist_48b,8H,lower_increases_target,0.9745492261049944,-0.0035885167464114742,145.315,candidate
ironfly,max_abs_excursion_ge_1_5_atr,sma_dist_48b,8H,lower_increases_target,0.9732726982607308,-0.0035885167464114742,145.06,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rolling_low_dist_24b,8H,lower_increases_target,0.967767671932344,-0.0035885167464114742,143.959,candidate
ironfly,max_abs_excursion_ge_1_5_atr,macd_hist_24_96b,8H,lower_increases_target,0.9673687569810117,-0.0035885167464114742,143.879,candidate
ironfly,max_abs_excursion_ge_1_5_atr,mfi_24b,8H,lower_increases_target,0.9586724110419659,-0.0035885167464114742,142.14,candidate
ironfly,max_abs_excursion_ge_1_5_atr,ema_spread_atr_12_48b,12H,lower_increases_target,0.9983353151010702,-0.0011890606420927874,141.791,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rsi_neutral_dist_48b,12H,lower_increases_target,0.9980975029726517,-0.0011890606420927874,141.743,candidate
ironfly,max_abs_excursion_ge_1_5_atr,bb_keltner_width_ratio_48b,12H,lower_increases_target,0.9980975029726517,-0.0011890606420927874,141.743,candidate
