interaction,family,why,features,target,horizon,n,base_n,base_rate,conditioned_rate,absolute_lift,relative_lift,auc_edge,best_individual_abs_lift,incremental_abs_lift,best_individual_detail,saturated_target,sample_caveat,thirds,min_n,lifts,chronologically_stable,regime_count,positive_regimes,negative_regimes,regime_class,survives_nonoverlap,nonoverlap_n,nonoverlap_lift,brier_improvement_vs_main2,rank_score
low_vwap_displacement_and_low_atr,STRUCTURE_X_VOLATILITY,near-VWAP low-volatility structure tests centered containment,rolling_vwap_z_96b+atr_pct_12b,upside_breakout_occurred,24H,479,4206,0.68188302425107,0.9039665970772442,0.2220835728261743,1.3256915994793894,0.11322192410246146,0.17865580300725015,0.043427769818924156,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.7282091917591125, ""absolute_lift"": 0.046326167508042526, ""relative_lift"": 1.067938584567234, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.8605388272583201, ""absolute_lift"": 0.17865580300725015, ""relative_lift"": 1.262003593949963, ""feature"": ""atr_pct_12b""}]",False,usable,3,118,"0.3161,0.1684,0.2151",True,3,3,0,UNIVERSAL,False,1,0.4666666666666667,,60.53197551371085
low_atr_and_mid_donchian,STRUCTURE_X_VOLATILITY,quiet price centered in channel tests containment,atr_pct_12b+donchian_pos_96b,upside_breakout_occurred,24H,503,4206,0.68188302425107,0.8926441351888668,0.21076111093779681,1.30908690118702,0.11012398029490922,0.17865580300725015,0.03210530793054667,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.8605388272583201, ""absolute_lift"": 0.17865580300725015, ""relative_lift"": 1.262003593949963, ""feature"": ""atr_pct_12b""}, {""n"": 1441, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.710617626648161, ""absolute_lift"": 0.028734602397091025, ""relative_lift"": 1.0421400759003365, ""feature"": ""donchian_pos_96b""}]",False,usable,3,111,"0.2711,0.1734,0.2124",True,3,3,0,UNIVERSAL,False,0,,,59.37834305803647
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,upside_breakout_occurred,24H,953,4206,0.68188302425107,0.47848898216159497,-0.20339404208947498,0.701717105638657,0.0783593719054439,0.18426020333189402,0.019133838757580957,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.4976228209191759, ""absolute_lift"": -0.18426020333189402, ""relative_lift"": 0.7297774005530173, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.6148359486447932, ""absolute_lift"": -0.06704707560627676, ""relative_lift"": 0.901673640167364, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.2025,-0.3327,-0.1206",True,6,0,6,UNIVERSAL,False,3,-0.2,,57.79945685304199
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,fast_1atr_touch,1H,837,4206,0.9762244412743699,0.94026284348865,-0.035961597785719945,0.963162571776245,0.17749391134924503,0.02218323683696899,0.013778360948750956,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.9762244412743699, ""conditioned_rate"": 0.9540412044374009, ""absolute_lift"": -0.02218323683696899, ""relative_lift"": 0.9772764992361687, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.9762244412743699, ""conditioned_rate"": 0.9629101283880172, ""absolute_lift"": -0.013314312886352764, ""relative_lift"": 0.9863614223088164, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.0385,-0.0599,-0.0137",True,6,0,6,UNIVERSAL,True,79,-0.08669623859497277,,57.61717351812607
low_vwap_displacement_and_low_atr,STRUCTURE_X_VOLATILITY,near-VWAP low-volatility structure tests centered containment,rolling_vwap_z_96b+atr_pct_12b,upside_breakout_occurred,12H,479,4206,0.6535901093675701,0.8496868475991649,0.1960967382315948,1.3000301495096718,0.08451079608907508,0.15782035022038554,0.03827638801120925,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6535901093675701, ""conditioned_rate"": 0.6980982567353408, ""absolute_lift"": 0.044508147367770645, ""relative_lift"": 1.0680979511927404, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6535901093675701, ""conditioned_rate"": 0.8114104595879557, ""absolute_lift"": 0.15782035022038554, ""relative_lift"": 1.2414668581400297, ""feature"": ""atr_pct_12b""}]",False,usable,3,118,"0.2334,0.1388,0.2574",True,3,3,0,UNIVERSAL,False,4,0.25,,57.35458331581412
low_atr_pct_and_falling_atr_slope,VOL_LEVEL_X_VOL_SLOPE,low volatility plus falling ATR tests stable compression,atr_pct_12b+atr_slope_96b,upside_breakout_occurred,24H,886,4206,0.68188302425107,0.8645598194130926,0.18267679516202262,1.267900488302464,0.13109842538562733,0.17865580300725015,0.004020992154772474,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.8605388272583201, ""absolute_lift"": 0.17865580300725015, ""relative_lift"": 1.262003593949963, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.68188302425107, ""conditioned_rate"": 0.7489300998573466, ""absolute_lift"": 0.06704707560627665, ""relative_lift"": 1.0983263598326358, ""feature"": ""atr_slope_96b""}]",False,usable,3,186,"0.2784,0.1194,0.2199",True,3,3,0,UNIVERSAL,False,2,0.4666666666666667,,56.7307688226747
low_vwap_displacement_and_low_atr,STRUCTURE_X_VOLATILITY,near-VWAP low-volatility structure tests centered containment,rolling_vwap_z_96b+atr_pct_12b,upside_breakout_occurred,8H,479,4206,0.6350451735615787,0.8183716075156576,0.18332643395407888,1.2886825088771456,0.07783845550654456,0.1280293113829537,0.05529712257112518,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6350451735615787, ""conditioned_rate"": 0.6806656101426307, ""absolute_lift"": 0.04562043658105197, ""relative_lift"": 1.0718380966903425, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6350451735615787, ""conditioned_rate"": 0.7630744849445324, ""absolute_lift"": 0.1280293113829537, ""relative_lift"": 1.2016066206202558, ""feature"": ""atr_pct_12b""}]",False,usable,3,118,"0.2250,0.1148,0.2619",True,3,3,0,UNIVERSAL,False,4,0.2272727272727273,,56.65001832070304
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,max_abs_excursion_ge_1_5_atr,1H,953,4206,0.8514027579648121,0.7660020986358866,-0.08540065932892549,0.8996941711428482,0.0819889416364144,0.06376408918509735,0.021636570143828138,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8514027579648121, ""conditioned_rate"": 0.7876386687797148, ""absolute_lift"": -0.06376408918509735, ""relative_lift"": 0.9251070206331976, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8514027579648121, ""conditioned_rate"": 0.8064669519733714, ""absolute_lift"": -0.04493580599144076, ""relative_lift"": 0.9472214465233175, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.0792,-0.1525,-0.0606",True,6,0,6,UNIVERSAL,True,99,-0.1204351204351205,,56.53812006189046
low_atr_and_mid_donchian,STRUCTURE_X_VOLATILITY,quiet price centered in channel tests containment,atr_pct_12b+donchian_pos_96b,upside_breakout_occurred,8H,503,4206,0.6350451735615787,0.8190854870775348,0.18404031351595607,1.2898066486889221,0.07433234511833575,0.1280293113829537,0.05601100213300236,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6350451735615787, ""conditioned_rate"": 0.7630744849445324, ""absolute_lift"": 0.1280293113829537, ""relative_lift"": 1.2016066206202558, ""feature"": ""atr_pct_12b""}, {""n"": 1441, ""base_n"": 4206, ""base_rate"": 0.6350451735615787, ""conditioned_rate"": 0.6710617626648161, ""absolute_lift"": 0.03601658910323735, ""relative_lift"": 1.0567150032827466, ""feature"": ""donchian_pos_96b""}]",False,usable,3,111,"0.1664,0.1537,0.2566",True,3,3,0,UNIVERSAL,False,2,0.4772727272727273,,56.51230540202178
low_atr_and_mid_donchian,STRUCTURE_X_VOLATILITY,quiet price centered in channel tests containment,atr_pct_12b+donchian_pos_96b,upside_breakout_occurred,12H,503,4206,0.6535901093675701,0.8469184890656064,0.1933283796980363,1.2957945307420664,0.08037751545267724,0.15782035022038554,0.03550802947765075,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.6535901093675701, ""conditioned_rate"": 0.8114104595879557, ""absolute_lift"": 0.15782035022038554, ""relative_lift"": 1.2414668581400297, ""feature"": ""atr_pct_12b""}, {""n"": 1441, ""base_n"": 4206, ""base_rate"": 0.6535901093675701, ""conditioned_rate"": 0.6807772380291465, ""absolute_lift"": 0.027187128661576354, ""relative_lift"": 1.041596603546959, ""feature"": ""donchian_pos_96b""}]",False,usable,3,111,"0.1654,0.1710,0.2626",True,3,3,0,UNIVERSAL,False,2,0.0,,56.4702491581906
