interaction,family,why,features,target,horizon,n,base_n,base_rate,conditioned_rate,absolute_lift,relative_lift,auc_edge,best_individual_abs_lift,incremental_abs_lift,best_individual_detail,saturated_target,sample_caveat,thirds,min_n,lifts,chronologically_stable,regime_count,positive_regimes,negative_regimes,regime_class,survives_nonoverlap,nonoverlap_n,nonoverlap_lift,brier_improvement_vs_main2,rank_score
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,24H,953,4206,0.884450784593438,0.6726128016789087,-0.21183798291452927,0.7604864096401854,0.29784061241647863,0.15227962769961867,0.0595583552149106,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.7321711568938193, ""absolute_lift"": -0.15227962769961867, ""relative_lift"": 0.8278257757783344, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8026628625772706, ""absolute_lift"": -0.08178792201616736, ""relative_lift"": 0.9075268817204302, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.1937,-0.3695,-0.1773",True,6,0,6,UNIVERSAL,False,3,0.0,-0.00029120002927891797,74.64818840548128
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,12H,953,4206,0.8604374702805516,0.6453305351521511,-0.2151069351284005,0.7500028269825774,0.24998081768896224,0.1575848553835627,0.057522079744837806,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.7028526148969889, ""absolute_lift"": -0.1575848553835627, ""relative_lift"": 0.8168549594519854, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.7736566809320019, ""absolute_lift"": -0.08678078934854971, ""relative_lift"": 0.8991434097817076, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.1778,-0.3566,-0.2056",True,6,0,6,UNIVERSAL,False,8,-0.1166666666666667,1.3858364751873076e-06,74.60078612929408
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,8H,953,4206,0.8549690917736567,0.6453305351521511,-0.20963855662150555,0.7547998417269043,0.2348980652455369,0.15607844201137455,0.05356011461013099,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.6988906497622821, ""absolute_lift"": -0.15607844201137455, ""relative_lift"": 0.8174455152670074, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.7746077032810271, ""absolute_lift"": -0.08036138849262953, ""relative_lift"": 0.9060066740823137, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.1778,-0.3358,-0.1992",True,6,0,6,UNIVERSAL,False,12,0.07575757575757569,0.0006561424011785194,73.33911134892485
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,2H,953,4206,0.8609129814550642,0.7355718782791185,-0.1253411031759457,0.8544090914228037,0.12355018328506318,0.09466892440276631,0.030672178773179404,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.7662440570522979, ""absolute_lift"": -0.09466892440276631, ""relative_lift"": 0.8900365931957925, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.797432239657632, ""absolute_lift"": -0.06348074179743224, ""relative_lift"": 0.9262634631317316, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.0915,-0.2516,-0.1044",True,6,0,6,UNIVERSAL,True,80,-0.07727272727272727,-0.00012536098600178514,65.32857695137217
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,range_held,2H,953,4206,0.043509272467902996,0.10598111227701994,0.06247183980911694,2.435828187088229,0.19463426825806263,0.045238746549529654,0.017233093259587287,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.08874801901743265, ""absolute_lift"": 0.045238746549529654, ""relative_lift"": 2.039749551843288, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.06990014265335236, ""absolute_lift"": 0.02639087018544936, ""relative_lift"": 1.6065573770491803, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"0.0525,0.1252,0.0478",True,6,6,0,UNIVERSAL,True,80,0.06590909090909092,,62.446009698506025
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,1H,953,4206,0.8699476937708036,0.7639034627492131,-0.10604423102159055,0.8781027505666003,0.1155886189821197,0.07755466682944068,0.028489564192149874,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.7923930269413629, ""absolute_lift"": -0.07755466682944068, ""relative_lift"": 0.9108513449891699, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8231098430813124, ""absolute_lift"": -0.0468378506894912, ""relative_lift"": 0.9461601530472806, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.0970,-0.1471,-0.0952",True,6,0,6,UNIVERSAL,True,99,-0.13468013468013473,2.3422607384374072e-05,62.260931419486184
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,range_held,12H,953,4206,0.05515929624346172,0.16474291710388247,0.10958362086042076,2.98667547128849,0.2919396334796869,0.0771703392557459,0.032413281604674854,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.05515929624346172, ""conditioned_rate"": 0.13232963549920762, ""absolute_lift"": 0.0771703392557459, ""relative_lift"": 2.3990450297830486, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.05515929624346172, ""conditioned_rate"": 0.09652876842605801, ""absolute_lift"": 0.04136947218259629, ""relative_lift"": 1.75, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"0.0900,0.2249,0.0878",True,6,6,0,UNIVERSAL,False,8,0.0,,61.74309703162448
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,range_held,24H,953,4206,0.0475511174512601,0.15424973767051417,0.10669862021925407,3.243871983210913,0.3389515726410385,0.07289262264382707,0.033805997575427,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.0475511174512601, ""conditioned_rate"": 0.12044374009508717, ""absolute_lift"": 0.07289262264382707, ""relative_lift"": 2.532931854199683, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.0475511174512601, ""conditioned_rate"": 0.0865430337612934, ""absolute_lift"": 0.03899191631003329, ""relative_lift"": 1.82, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"0.0992,0.2197,0.0749",True,6,6,0,UNIVERSAL,False,3,0.0,,61.508314232344645
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,2H,837,4206,0.8609129814550642,0.7514934289127837,-0.10941955254228053,0.8729028892590909,0.08242162881765203,0.06348074179743224,0.04593881074484829,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.8003169572107766, ""absolute_lift"": -0.06059602424428767, ""relative_lift"": 0.9296142286739922, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.797432239657632, ""absolute_lift"": -0.06348074179743224, ""relative_lift"": 0.9262634631317316, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.1007,-0.1190,-0.1096",True,6,0,6,UNIVERSAL,True,56,-0.11120129870129869,0.00021083899698637332,61.48351706886824
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,range_held,8H,953,4206,0.05254398478364242,0.15424973767051417,0.10170575288687175,2.9356307540370254,0.2698234896699728,0.07265411347309292,0.029051639413778835,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.05254398478364242, ""conditioned_rate"": 0.12519809825673534, ""absolute_lift"": 0.07265411347309292, ""relative_lift"": 2.382729417501488, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.05254398478364242, ""conditioned_rate"": 0.09082263433190679, ""absolute_lift"": 0.038278649548264376, ""relative_lift"": 1.7285067873303166, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"0.0847,0.1719,0.0911",True,6,6,0,UNIVERSAL,False,12,-0.09090909090909091,,60.52882149952692
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,realized_over_range_width_ge_1,2H,808,4206,0.8609129814550642,0.754950495049505,-0.10596248640555928,0.8769184706374531,0.07131500246661804,0.06348074179743224,0.04248174460812704,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.8090332805071315, ""absolute_lift"": -0.051879700947932705, ""relative_lift"": 0.9397387400753922, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8609129814550642, ""conditioned_rate"": 0.797432239657632, ""absolute_lift"": -0.06348074179743224, ""relative_lift"": 0.9262634631317316, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.0760,-0.1337,-0.1074",True,6,0,6,UNIVERSAL,True,52,-0.097465034965035,,59.819238134646724
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,1H,837,4206,0.8699476937708036,0.7694145758661888,-0.10053311790461483,0.884437744217871,0.08490821509957919,0.06646116445226158,0.034071953452353254,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.803486529318542, ""absolute_lift"": -0.06646116445226158, ""relative_lift"": 0.9236032638190182, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8231098430813124, ""absolute_lift"": -0.0468378506894912, ""relative_lift"": 0.9461601530472806, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.1230,-0.0823,-0.0961",True,6,0,6,UNIVERSAL,True,79,-0.14299109235818097,0.0004834756536878787,59.77577789418353
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,realized_over_range_width_ge_1,4H,953,4206,0.855206847360913,0.7040923399790137,-0.15111450738189935,0.823300634404151,0.15654967901092542,0.12303569046709373,0.028078816914805627,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.855206847360913, ""conditioned_rate"": 0.7321711568938193, ""absolute_lift"": -0.12303569046709373, ""relative_lift"": 0.8561334128149579, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.855206847360913, ""conditioned_rate"": 0.7822158820732287, ""absolute_lift"": -0.07299096528768434, ""relative_lift"": 0.9146510981373366, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"-0.0965,-0.2804,-0.1552",True,6,0,6,UNIVERSAL,False,19,-0.04007177033492826,-0.00010178751561418231,58.86330555364073
rising_atr_and_high_volume,VOLATILITY_X_VOLUME,ATR acceleration with volume confirms expansion pressure,atr_slope_96b+volume_z_96b,realized_over_range_width_ge_1,24H,745,4206,0.884450784593438,0.7476510067114094,-0.13679977788202857,0.8453279930720935,0.14487975131642994,0.08178792201616736,0.055011855865861214,"[{""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8026628625772706, ""absolute_lift"": -0.08178792201616736, ""relative_lift"": 0.9075268817204302, ""feature"": ""atr_slope_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8343898573692552, ""absolute_lift"": -0.05006092722418276, ""relative_lift"": 0.9433988548642708, ""feature"": ""volume_z_96b""}]",False,usable,3,240,"-0.1331,-0.1581,-0.1209",True,6,1,5,REGIME-SPECIFIC,False,3,0.0,0.00036437321060835137,58.55305120467006
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,realized_over_range_width_ge_1,24H,808,4206,0.884450784593438,0.754950495049505,-0.129500289543933,0.8535811242414564,0.1564781627505642,0.08178792201616736,0.04771236752776564,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8225039619651348, ""absolute_lift"": -0.0619468226283032, ""relative_lift"": 0.9299601247379992, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8026628625772706, ""absolute_lift"": -0.08178792201616736, ""relative_lift"": 0.9075268817204302, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.1550,-0.1073,-0.1291",True,6,0,6,UNIVERSAL,False,1,0.0,-0.000240969815081718,57.77888924150566
rising_rv_and_high_volume,VOLATILITY_X_VOLUME,RV acceleration with volume tests volatility expansion,rv_slope_96b+volume_z_96b,realized_over_range_width_ge_1,24H,745,4206,0.884450784593438,0.7503355704697987,-0.13411521412363925,0.8483632820956918,0.1403048807469357,0.08083689966714214,0.05327831445649711,"[{""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8036138849262958, ""absolute_lift"": -0.08083689966714214, ""relative_lift"": 0.9086021505376345, ""feature"": ""rv_slope_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8343898573692552, ""absolute_lift"": -0.05006092722418276, ""relative_lift"": 0.9433988548642708, ""feature"": ""volume_z_96b""}]",False,usable,3,240,"-0.1165,-0.1557,-0.1303",True,6,0,6,UNIVERSAL,False,3,0.0,0.0004168468614869081,57.747220055706094
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,range_held,2H,808,4206,0.043509272467902996,0.10272277227722772,0.05921349980932472,2.3609397825028404,0.1320650793456749,0.0333528511454092,0.02586064866391552,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.0768621236133122, ""absolute_lift"": 0.0333528511454092, ""relative_lift"": 1.7665688082928475, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.06990014265335236, ""absolute_lift"": 0.02639087018544936, ""relative_lift"": 1.6065573770491803, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"0.0574,0.0779,0.0436",True,6,6,0,UNIVERSAL,True,52,0.07648601398601398,,57.7396782178862
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,24H,837,4206,0.884450784593438,0.7574671445639187,-0.12698364002951923,0.8564265618375919,0.16130857560069028,0.08178792201616736,0.04519571801335187,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8129952456418383, ""absolute_lift"": -0.07145553895159962, ""relative_lift"": 0.9192091406369817, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.884450784593438, ""conditioned_rate"": 0.8026628625772706, ""absolute_lift"": -0.08178792201616736, ""relative_lift"": 0.9075268817204302, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.1545,-0.0997,-0.1289",True,6,0,6,UNIVERSAL,False,2,0.0,-0.0003375419609899094,57.62336350826971
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,range_held,2H,837,4206,0.043509272467902996,0.0991636798088411,0.0556544073409381,2.2791390015081183,0.13678656468475658,0.030975672064585125,0.024678735276352975,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.07448494453248812, ""absolute_lift"": 0.030975672064585125, ""relative_lift"": 1.7119326595827598, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.043509272467902996, ""conditioned_rate"": 0.06990014265335236, ""absolute_lift"": 0.02639087018544936, ""relative_lift"": 1.6065573770491803, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"0.0598,0.0626,0.0465",True,6,5,1,REGIME-SPECIFIC,True,56,0.08198051948051949,,57.59575287780134
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,realized_over_range_width_ge_1,1H,808,4206,0.8699476937708036,0.7896039603960396,-0.08034373337476397,0.907645328621411,0.06291341427038988,0.0468378506894912,0.03350588268527277,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8272583201267829, ""absolute_lift"": -0.0426893736440207, ""relative_lift"": 0.9509288041686933, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8231098430813124, ""absolute_lift"": -0.0468378506894912, ""relative_lift"": 0.9461601530472806, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.0918,-0.0649,-0.0858",True,6,0,6,UNIVERSAL,True,69,-0.11272141706924321,,55.354791761424686
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,realized_over_range_width_ge_1,12H,808,4206,0.8604374702805516,0.7326732673267327,-0.12776420295381896,0.8515125068737877,0.1264533248476124,0.08678078934854971,0.04098341360526925,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.8090332805071315, ""absolute_lift"": -0.051404189773420095, ""relative_lift"": 0.9402580762124882, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.7736566809320019, ""absolute_lift"": -0.08678078934854971, ""relative_lift"": 0.8991434097817076, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.1493,-0.1019,-0.1326",True,6,0,6,UNIVERSAL,False,2,-0.3666666666666667,-0.00024825163566555286,54.62734277642259
high_atr_pct_and_rising_atr_slope,VOL_LEVEL_X_VOL_SLOPE,high and accelerating volatility is a risk state,atr_pct_12b+atr_slope_96b,range_held,1H,953,4206,0.04303376129339039,0.08604407135362015,0.043010310060229755,1.9994550503498694,0.1263738375484712,0.03145118323909773,0.011559126821132026,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.04303376129339039, ""conditioned_rate"": 0.07448494453248812, ""absolute_lift"": 0.03145118323909773, ""relative_lift"": 1.7308490425615748, ""feature"": ""atr_pct_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.04303376129339039, ""conditioned_rate"": 0.061816452686638136, ""absolute_lift"": 0.018782691393247744, ""relative_lift"": 1.4364640883977902, ""feature"": ""atr_slope_96b""}]",False,usable,3,167,"0.0396,0.0628,0.0377",True,6,6,0,UNIVERSAL,True,99,0.059829059829059825,,54.19587435679583
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,12H,837,4206,0.8604374702805516,0.7359617682198327,-0.1244757020607189,0.8553344009761306,0.1285965656366903,0.08678078934854971,0.03769491271216918,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.8003169572107766, ""absolute_lift"": -0.06012051306977506, ""relative_lift"": 0.9301279696127456, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8604374702805516, ""conditioned_rate"": 0.7736566809320019, ""absolute_lift"": -0.08678078934854971, ""relative_lift"": 0.8991434097817076, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.1590,-0.1137,-0.1034",True,6,0,6,UNIVERSAL,False,5,-0.06666666666666665,-0.0003636790426549963,54.09493089813303
