interaction,12H,1H,24H,2H,4H,8H
bb_compressed_and_falling_atr_slope,46.49168930277288,48.5785212356417,51.73749243045455,39.90639123164614,44.837379851307176,45.04242302425307
bb_compressed_and_high_efficiency,35.50403373339893,45.9484731138826,39.610712606108635,26.888858999355282,33.75484485679796,37.938112722710656
bb_compressed_and_high_volume,48.617007761450125,44.51369800154016,45.921789786539996,40.025266457604104,39.29648415975859,43.66013295035552
bb_compressed_and_low_efficiency,49.462768180025776,46.58076540193362,48.55233213218238,43.236243941294966,45.35017613412054,46.99611953248544
bb_compressed_and_low_volume,43.46457595342967,42.44019950626148,47.81573103518442,34.73113257486166,41.20429539714703,42.13826837845325
bb_compressed_and_rising_atr_slope,45.74459644453856,40.98337563879194,45.77078617381775,25.38273144116298,26.650668547889673,39.96934619656648
bb_squeeze_low_and_high_efficiency,39.2358330093034,40.87452607610074,41.09294182770576,25.49265224047768,24.006360244552916,32.66433819082551
bb_squeeze_low_and_low_efficiency,39.661056778255734,44.254383811392984,44.05398967897731,43.19286475067719,40.9925595417397,40.41073195042166
donchian_center_and_falling_rv,43.89716923699655,45.35003957423854,48.01249452810743,38.73000144150866,42.17763740917163,47.41399329805489
donchian_edge_and_rising_rv,48.57494402149478,47.24413250007686,48.5934984736441,48.80631893352881,34.43634971245068,41.97504056832268
ema_spread_high_and_rising_atr,54.09493089813303,59.77577789418353,57.62336350826971,61.48351706886824,50.06387478496048,49.70944201754369
ema_spread_low_and_falling_atr,42.812522882497866,49.60765028937013,45.12842474435738,36.090754910043714,37.95878238400554,42.05367860888457
falling_atr_and_low_efficiency,46.96919795412211,49.96771266467157,43.84401881476152,41.53328853910953,44.08106660267554,47.14123481668089
high_adx_and_rising_atr,46.40661147064436,52.465125319818654,44.92815478320594,52.07256716961686,46.18844828599241,45.968403991766586
high_atr_pct_and_falling_atr_slope,18.957605852694364,13.718986196954287,29.405879664301157,17.448798170560124,20.424259411624185,16.38169966218507
high_atr_pct_and_rising_atr_slope,74.60078612929408,62.260931419486184,74.64818840548128,65.32857695137217,58.86330555364073,73.33911134892485
high_vwap_displacement_and_rising_atr,54.62734277642259,55.354791761424686,57.77888924150566,59.819238134646724,47.255445642418145,48.846586959386194
keltner_compressed_and_falling_atr_slope,49.29409828497869,47.19627713488816,55.08745275807167,40.1625374135827,43.41410124539381,47.1070593039791
keltner_compressed_and_rising_atr_slope,47.40089109559648,43.593167806524946,51.289915420198874,36.154004267840335,33.77919944617515,36.47829637790183
low_adx_and_falling_atr,51.91360636659317,49.404291049369576,55.834083469401534,39.326359678334015,43.6495941317026,32.55265817199814
low_atr_and_donchian_edge,41.33393865428607,37.775337703911966,48.033253609966934,36.91289368638248,38.78598902924546,39.15132452611263
low_atr_and_high_efficiency,46.21689463346445,34.45865411914083,50.32883250997456,33.11995713719947,34.629517808437505,38.59672976222272
low_atr_and_low_efficiency,52.13885094456931,49.471606903086375,51.93872537211425,47.0278909836264,50.680544469765614,49.77343455252731
low_atr_and_mid_donchian,56.4702491581906,48.793260017560975,59.37834305803647,46.82091358144468,52.274715968542495,56.51230540202178
low_atr_pct_and_falling_atr_slope,51.38897266943785,49.12350997861378,56.7307688226747,43.69049417561682,45.61670440185351,47.70041873893757
low_atr_pct_and_rising_atr_slope,46.71536376902931,42.81645416049115,50.42038160813294,35.264379268698846,32.658394697402166,40.101392866433564
low_rv_and_falling_rv_slope,45.61585242478614,48.71596676377634,52.21452737519527,40.12840312884882,42.48989954283594,43.78323591892103
low_rv_and_rising_rv_slope,47.81000135885439,40.57232130003196,52.18931063685468,28.56935949524008,31.83819636422143,39.90005322366663
low_vwap_displacement_and_low_atr,57.35458331581412,49.027435082905555,60.53197551371085,46.25454624600367,52.81546185782868,56.65001832070304
rising_atr_and_high_efficiency,43.8871476808615,52.08692768937096,41.64801574690239,52.92787725834688,45.320629579457524,42.16417998354346
rising_atr_and_high_volume,46.863021911059114,44.56182176472745,58.55305120467006,45.37046234597344,36.67563286552676,41.97809323235861
rising_rv_and_high_volume,46.330330384609866,49.209495887188865,57.747220055706094,45.55671380445873,39.04970624075622,41.21686445174683
