interaction_a,interaction_b,phi_corr,redundancy
low_atr_pct_and_falling_atr_slope,keltner_compressed_and_falling_atr_slope,0.8812819919602429,HIGH
rising_atr_and_high_volume,rising_rv_and_high_volume,0.8727651743589643,HIGH
keltner_compressed_and_rising_atr_slope,low_atr_pct_and_rising_atr_slope,0.8592308202817421,HIGH
low_vwap_displacement_and_low_atr,low_atr_and_mid_donchian,0.7789551478991382,MODERATE
ema_spread_high_and_rising_atr,high_vwap_displacement_and_rising_atr,0.7636738056714443,MODERATE
low_atr_and_low_efficiency,bb_compressed_and_low_efficiency,0.7503483484558562,MODERATE
low_atr_pct_and_falling_atr_slope,bb_compressed_and_falling_atr_slope,0.7409587590805145,MODERATE
keltner_compressed_and_falling_atr_slope,bb_compressed_and_falling_atr_slope,0.7274459909449777,MODERATE
low_atr_pct_and_falling_atr_slope,low_rv_and_falling_rv_slope,0.721247370301318,MODERATE
low_atr_and_high_efficiency,bb_compressed_and_high_efficiency,0.7106132080381109,MODERATE
keltner_compressed_and_falling_atr_slope,low_rv_and_falling_rv_slope,0.6778222483089507,MODERATE
low_atr_pct_and_rising_atr_slope,bb_compressed_and_rising_atr_slope,0.6576516914256694,MODERATE
