interaction,target,horizon,thirds,min_n,lifts,chronologically_stable
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,12H,3,191,"0.0337,0.0930,0.0639",True
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,1H,3,191,"0.0051,0.0531,0.0437",True
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,24H,3,191,"0.0285,0.1190,0.0910",True
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,2H,3,191,"0.0425,0.0571,0.0396",True
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,4H,3,191,"-0.0051,0.0729,-0.0068",False
bb_compressed_and_falling_atr_slope,downside_breakdown_occurred,8H,3,191,"0.0297,0.0792,-0.0196",False
bb_compressed_and_falling_atr_slope,fast_1atr_touch,1H,3,191,"0.0071,0.0213,0.0119",True
bb_compressed_and_falling_atr_slope,fast_1atr_touch,2H,3,191,"0.0043,0.0093,0.0021",True
bb_compressed_and_falling_atr_slope,fast_1atr_touch,4H,3,191,"0.0000,0.0014,0.0000",True
bb_compressed_and_falling_atr_slope,max_abs_excursion_ge_1_5_atr,12H,3,191,"0.0007,0.0000,0.0000",True
bb_compressed_and_falling_atr_slope,max_abs_excursion_ge_1_5_atr,1H,3,191,"0.0727,0.0519,0.0714",True
bb_compressed_and_falling_atr_slope,max_abs_excursion_ge_1_5_atr,2H,3,191,"0.0314,0.0198,0.0144",True
bb_compressed_and_falling_atr_slope,max_abs_excursion_ge_1_5_atr,4H,3,191,"0.0064,0.0071,0.0029",True
bb_compressed_and_falling_atr_slope,max_abs_excursion_ge_1_5_atr,8H,3,191,"0.0007,0.0007,0.0007",True
bb_compressed_and_falling_atr_slope,one_sided_runaway,12H,3,191,"0.0475,-0.0005,0.0011",False
bb_compressed_and_falling_atr_slope,one_sided_runaway,1H,3,191,"-0.0298,0.0064,-0.0370",False
bb_compressed_and_falling_atr_slope,one_sided_runaway,24H,3,191,"-0.0705,-0.0279,-0.0267",True
bb_compressed_and_falling_atr_slope,one_sided_runaway,2H,3,191,"-0.0665,-0.0036,0.0009",False
bb_compressed_and_falling_atr_slope,one_sided_runaway,4H,3,191,"-0.0172,-0.0098,0.0107",False
bb_compressed_and_falling_atr_slope,one_sided_runaway,8H,3,191,"0.0244,0.0030,0.0404",True
bb_compressed_and_falling_atr_slope,oscillatory_path,12H,3,191,"-0.0338,0.0247,0.0069",False
bb_compressed_and_falling_atr_slope,oscillatory_path,1H,3,191,"0.0137,0.0056,0.0069",True
bb_compressed_and_falling_atr_slope,oscillatory_path,24H,3,191,"0.0958,0.0709,0.0958",True
bb_compressed_and_falling_atr_slope,oscillatory_path,2H,3,191,"0.0851,-0.0256,-0.0002",False
bb_compressed_and_falling_atr_slope,oscillatory_path,4H,3,191,"0.0199,0.0111,0.0144",True
bb_compressed_and_falling_atr_slope,oscillatory_path,8H,3,191,"0.0123,0.0200,-0.0136",False
bb_compressed_and_falling_atr_slope,path_inside_70,12H,3,191,"-0.0478,-0.0598,-0.0447",True
bb_compressed_and_falling_atr_slope,path_inside_70,1H,3,191,"-0.0349,-0.0255,-0.0066",True
bb_compressed_and_falling_atr_slope,path_inside_70,24H,3,191,"-0.0456,-0.0570,-0.0292",True
bb_compressed_and_falling_atr_slope,path_inside_70,2H,3,191,"-0.0397,-0.0269,-0.0281",True
bb_compressed_and_falling_atr_slope,path_inside_70,4H,3,191,"-0.0442,-0.0356,-0.0369",True
bb_compressed_and_falling_atr_slope,path_inside_70,8H,3,191,"-0.0506,-0.0448,-0.0424",True
bb_compressed_and_falling_atr_slope,range_breached,12H,3,191,"0.0478,0.0598,0.0447",True
bb_compressed_and_falling_atr_slope,range_breached,1H,3,191,"0.0349,0.0255,0.0066",True
bb_compressed_and_falling_atr_slope,range_breached,24H,3,191,"0.0456,0.0570,0.0292",True
bb_compressed_and_falling_atr_slope,range_breached,2H,3,191,"0.0397,0.0269,0.0281",True
bb_compressed_and_falling_atr_slope,range_breached,4H,3,191,"0.0442,0.0356,0.0369",True
bb_compressed_and_falling_atr_slope,range_breached,8H,3,191,"0.0506,0.0448,0.0424",True
bb_compressed_and_falling_atr_slope,range_held,12H,3,191,"-0.0478,-0.0598,-0.0447",True
bb_compressed_and_falling_atr_slope,range_held,1H,3,191,"-0.0349,-0.0255,-0.0066",True
bb_compressed_and_falling_atr_slope,range_held,24H,3,191,"-0.0456,-0.0570,-0.0292",True
bb_compressed_and_falling_atr_slope,range_held,2H,3,191,"-0.0397,-0.0269,-0.0281",True
bb_compressed_and_falling_atr_slope,range_held,4H,3,191,"-0.0442,-0.0356,-0.0369",True
bb_compressed_and_falling_atr_slope,range_held,8H,3,191,"-0.0506,-0.0448,-0.0424",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,12H,3,191,"0.1262,0.1087,0.0982",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,1H,3,191,"0.0882,0.0528,0.0585",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,24H,3,191,"0.1127,0.1109,0.0884",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,2H,3,191,"0.1065,0.0793,0.0505",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,4H,3,191,"0.1224,0.0994,0.1059",True
bb_compressed_and_falling_atr_slope,realized_over_range_width_ge_1,8H,3,191,"0.1334,0.1050,0.0688",True
bb_compressed_and_falling_atr_slope,trend_efficiency_high,12H,3,191,"0.0475,-0.0005,0.0011",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,1H,3,191,"-0.0360,0.0015,-0.0389",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,24H,3,191,"-0.0705,-0.0279,-0.0267",True
bb_compressed_and_falling_atr_slope,trend_efficiency_high,2H,3,191,"-0.0665,-0.0050,0.0002",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,4H,3,191,"-0.0172,-0.0098,0.0107",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,8H,3,191,"0.0244,0.0030,0.0404",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,12H,3,191,"0.1902,0.0884,0.1328",True
