feature_a,feature_b,relationship,value,recommendation
atr_pct_12b,keltner_width_20b,spearman,0.9669082279552963,DROP_CANDIDATE
rolling_vwap_z_96b,donchian_pos_96b,spearman,0.9524573641724916,DROP_CANDIDATE
atr_pct_12b,rv_12b,spearman,0.9376168672283074,OPTIONAL
atr_slope_96b,rv_slope_96b,spearman,0.9140656971810948,OPTIONAL
keltner_width_20b,rv_12b,spearman,0.8843400122717654,OPTIONAL
atr_pct_12b,bollinger_bandwidth_20b,spearman,0.8583051342427753,OPTIONAL
bollinger_bandwidth_20b,keltner_width_20b,spearman,0.8427073154836346,KEEP
bollinger_bandwidth_20b,rv_12b,spearman,0.8193567197033936,KEEP
ema_spread_high_and_rising_atr,high_vwap_displacement_and_rising_atr,jaccard_active_overlap,0.6699779249448123,KEEP
low_vwap_displacement_and_low_atr,low_atr_and_mid_donchian,jaccard_active_overlap,0.6666666666666666,KEEP
atr_slope_96b,keltner_width_20b,spearman,0.4801811862847922,KEEP
atr_slope_96b,atr_pct_12b,spearman,0.45951451339978777,KEEP
rv_slope_96b,rv_12b,spearman,0.4347454636711373,KEEP
rv_slope_96b,keltner_width_20b,spearman,0.43451639576046647,KEEP
atr_slope_96b,rv_12b,spearman,0.4236237797479594,KEEP
rv_slope_96b,atr_pct_12b,spearman,0.4211123427259554,KEEP
atr_slope_96b,bollinger_bandwidth_20b,spearman,0.4174429434197653,KEEP
rv_slope_96b,bollinger_bandwidth_20b,spearman,0.41494997457637456,KEEP
low_vwap_displacement_and_low_atr,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.3700404858299595,KEEP
low_atr_and_mid_donchian,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.35680379746835444,KEEP
low_atr_pct_and_falling_atr_slope,low_adx_and_falling_atr,jaccard_active_overlap,0.3350071736011478,KEEP
high_atr_pct_and_rising_atr_slope,rising_atr_and_high_volume,jaccard_active_overlap,0.305744888023369,KEEP
high_atr_pct_and_rising_atr_slope,ema_spread_high_and_rising_atr,jaccard_active_overlap,0.30344202898550726,KEEP
high_atr_pct_and_rising_atr_slope,high_vwap_displacement_and_rising_atr,jaccard_active_overlap,0.28847926267281104,KEEP
ema_spread_high_and_rising_atr,rising_atr_and_high_volume,jaccard_active_overlap,0.28735632183908044,KEEP
high_vwap_displacement_and_rising_atr,rising_atr_and_high_volume,jaccard_active_overlap,0.2747747747747748,KEEP
bollinger_bandwidth_20b,volume_z_96b,spearman,0.2572495245519589,KEEP
atr_slope_96b,volume_z_96b,spearman,0.24504819983623352,KEEP
rv_slope_96b,volume_z_96b,spearman,0.24207448392123707,KEEP
rv_12b,volume_z_96b,spearman,0.2290164635890967,KEEP
atr_pct_12b,volume_z_96b,spearman,0.21875930853360834,KEEP
low_vwap_displacement_and_low_atr,low_adx_and_falling_atr,jaccard_active_overlap,0.218214607754734,KEEP
atr_slope_96b,price_efficiency_96b,spearman,0.20374146064509732,KEEP
low_atr_and_mid_donchian,low_adx_and_falling_atr,jaccard_active_overlap,0.18041237113402062,KEEP
rv_slope_96b,price_efficiency_96b,spearman,0.16588858113381058,KEEP
keltner_width_20b,price_efficiency_96b,spearman,0.1615257340159388,KEEP
atr_pct_12b,price_efficiency_96b,spearman,0.15745350310252024,KEEP
keltner_width_20b,volume_z_96b,spearman,0.15699808452506236,KEEP
bollinger_bandwidth_20b,price_efficiency_96b,spearman,0.1467815887279817,KEEP
rv_12b,price_efficiency_96b,spearman,0.13719284140188082,KEEP
atr_pct_12b,donchian_pos_96b,spearman,-0.10071751427312889,KEEP
keltner_width_20b,donchian_pos_96b,spearman,-0.09607368114046363,KEEP
rv_12b,donchian_pos_96b,spearman,-0.0872008440994996,KEEP
atr_pct_12b,rolling_vwap_z_96b,spearman,-0.08315716379587236,KEEP
keltner_width_20b,rolling_vwap_z_96b,spearman,-0.07990491329073349,KEEP
bollinger_bandwidth_20b,donchian_pos_96b,spearman,-0.07642455260447735,KEEP
rv_12b,rolling_vwap_z_96b,spearman,-0.06973857658462145,KEEP
bollinger_bandwidth_20b,rolling_vwap_z_96b,spearman,-0.0579886817766852,KEEP
price_efficiency_96b,volume_z_96b,spearman,0.05561058332446021,KEEP
donchian_pos_96b,volume_z_96b,spearman,-0.04309173528350529,KEEP
rolling_vwap_z_96b,volume_z_96b,spearman,-0.03010982368407846,KEEP
rv_slope_96b,rolling_vwap_z_96b,spearman,0.02999506273082757,KEEP
low_atr_and_mid_donchian,rising_atr_and_high_volume,jaccard_active_overlap,0.02456418383518225,KEEP
low_vwap_displacement_and_low_atr,rising_atr_and_high_volume,jaccard_active_overlap,0.02090032154340836,KEEP
atr_slope_96b,rolling_vwap_z_96b,spearman,0.0166538299614264,KEEP
price_efficiency_96b,rolling_vwap_z_96b,spearman,0.013921423397049678,KEEP
atr_slope_96b,donchian_pos_96b,spearman,-0.008817033373201017,KEEP
price_efficiency_96b,donchian_pos_96b,spearman,0.008401179079606653,KEEP
ema_spread_high_and_rising_atr,low_atr_and_mid_donchian,jaccard_active_overlap,0.006512301013024602,KEEP
rv_slope_96b,donchian_pos_96b,spearman,0.005868439953118497,KEEP
high_atr_pct_and_rising_atr_slope,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.0,KEEP
high_atr_pct_and_rising_atr_slope,low_vwap_displacement_and_low_atr,jaccard_active_overlap,0.0,KEEP
high_atr_pct_and_rising_atr_slope,low_atr_and_mid_donchian,jaccard_active_overlap,0.0,KEEP
high_atr_pct_and_rising_atr_slope,low_adx_and_falling_atr,jaccard_active_overlap,0.0,KEEP
ema_spread_high_and_rising_atr,low_vwap_displacement_and_low_atr,jaccard_active_overlap,0.0,KEEP
ema_spread_high_and_rising_atr,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.0,KEEP
high_vwap_displacement_and_rising_atr,low_atr_and_mid_donchian,jaccard_active_overlap,0.0,KEEP
low_vwap_displacement_and_low_atr,high_vwap_displacement_and_rising_atr,jaccard_active_overlap,0.0,KEEP
ema_spread_high_and_rising_atr,low_adx_and_falling_atr,jaccard_active_overlap,0.0,KEEP
high_vwap_displacement_and_rising_atr,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.0,KEEP
high_vwap_displacement_and_rising_atr,low_adx_and_falling_atr,jaccard_active_overlap,0.0,KEEP
rising_atr_and_high_volume,low_atr_pct_and_falling_atr_slope,jaccard_active_overlap,0.0,KEEP
rising_atr_and_high_volume,low_adx_and_falling_atr,jaccard_active_overlap,0.0,KEEP
