target,horizon,strategy_relevance,n,eligibility_count,positive_count,base_rate,saturation_flag
mean_reversion,12H,GENERIC_PROBABILITY,4206,4206,2790,0.6633380884450785,USABLE
mean_reversion,1H,GENERIC_PROBABILITY,4206,4206,1240,0.29481692819781263,USABLE
mean_reversion,24H,GENERIC_PROBABILITY,4206,4206,3036,0.7218259629101283,USABLE
mean_reversion,2H,GENERIC_PROBABILITY,4206,4206,1698,0.4037089871611983,USABLE
mean_reversion,4H,GENERIC_PROBABILITY,4206,4206,2163,0.514265335235378,USABLE
mean_reversion,8H,GENERIC_PROBABILITY,4206,4206,2566,0.6100808368996672,USABLE
upside_breakout,12H,GENERIC_PROBABILITY,4206,4206,2749,0.6535901093675701,USABLE
upside_breakout,1H,GENERIC_PROBABILITY,4206,4206,2683,0.6378982406086543,USABLE
upside_breakout,24H,GENERIC_PROBABILITY,4206,4206,2868,0.68188302425107,USABLE
upside_breakout,2H,GENERIC_PROBABILITY,4206,4206,2639,0.6274369947693771,USABLE
upside_breakout,4H,GENERIC_PROBABILITY,4206,4206,2620,0.6229196386115073,USABLE
upside_breakout,8H,GENERIC_PROBABILITY,4206,4206,2671,0.6350451735615787,USABLE
downside_breakdown,12H,GENERIC_PROBABILITY,4206,4206,2720,0.6466951973371374,USABLE
downside_breakdown,1H,GENERIC_PROBABILITY,4206,4206,2756,0.6552543984783642,USABLE
downside_breakdown,24H,GENERIC_PROBABILITY,4206,4206,2744,0.6524013314312886,USABLE
downside_breakdown,2H,GENERIC_PROBABILITY,4206,4206,2656,0.6314788397527342,USABLE
downside_breakdown,4H,GENERIC_PROBABILITY,4206,4206,2672,0.635282929148835,USABLE
downside_breakdown,8H,GENERIC_PROBABILITY,4206,4206,2704,0.6428911079410367,USABLE
range_continuation,12H,BOTH,4206,4206,232,0.05515929624346172,USABLE
range_continuation,1H,BOTH,4206,4206,181,0.04303376129339039,USABLE
range_continuation,24H,BOTH,4206,4206,200,0.0475511174512601,USABLE
range_continuation,2H,BOTH,4206,4206,183,0.043509272467902996,USABLE
range_continuation,4H,BOTH,4206,4206,182,0.0432715168806467,USABLE
range_continuation,8H,BOTH,4206,4206,221,0.05254398478364242,USABLE
trend_continuation,12H,GENERIC_PROBABILITY,4206,4206,1706,0.4056110318592487,USABLE
trend_continuation,1H,GENERIC_PROBABILITY,4206,4206,1357,0.3226343319067998,USABLE
trend_continuation,24H,GENERIC_PROBABILITY,4206,4206,1831,0.43533048026628623,USABLE
trend_continuation,2H,GENERIC_PROBABILITY,4206,4206,1487,0.3535425582501189,USABLE
trend_continuation,4H,GENERIC_PROBABILITY,4206,4206,1581,0.37589158345221113,USABLE
trend_continuation,8H,GENERIC_PROBABILITY,4206,4206,1697,0.403471231573942,USABLE
path_inside_70,12H,BOTH,4206,4206,232,0.05515929624346172,USABLE
path_inside_70,1H,BOTH,4206,4206,181,0.04303376129339039,USABLE
path_inside_70,24H,BOTH,4206,4206,200,0.0475511174512601,USABLE
path_inside_70,2H,BOTH,4206,4206,183,0.043509272467902996,USABLE
path_inside_70,4H,BOTH,4206,4206,182,0.0432715168806467,USABLE
path_inside_70,8H,BOTH,4206,4206,221,0.05254398478364242,USABLE
range_breached,12H,BOTH,4206,4206,3974,0.9448407037565383,USABLE
range_breached,1H,BOTH,4206,4206,4025,0.9569662387066096,USABLE
range_breached,24H,BOTH,4206,4206,4006,0.9524488825487399,USABLE
range_breached,2H,BOTH,4206,4206,4023,0.956490727532097,USABLE
range_breached,4H,BOTH,4206,4206,4024,0.9567284831193533,USABLE
range_breached,8H,BOTH,4206,4206,3985,0.9474560152163576,USABLE
upper_breach_only,12H,IRON_FLY,4206,4206,1254,0.29814550641940085,USABLE
upper_breach_only,1H,IRON_FLY,4206,4206,1272,0.3024251069900143,USABLE
upper_breach_only,24H,IRON_FLY,4206,4206,1266,0.30099857346647646,USABLE
upper_breach_only,2H,IRON_FLY,4206,4206,1370,0.3257251545411317,USABLE
upper_breach_only,4H,IRON_FLY,4206,4206,1352,0.3214455539705183,USABLE
upper_breach_only,8H,IRON_FLY,4206,4206,1282,0.3048026628625773,USABLE
lower_breach_only,12H,IRON_FLY,4206,4206,1226,0.2914883499762244,USABLE
lower_breach_only,1H,IRON_FLY,4206,4206,1350,0.3209700427960057,USABLE
lower_breach_only,24H,IRON_FLY,4206,4206,1139,0.2708036138849263,USABLE
lower_breach_only,2H,IRON_FLY,4206,4206,1391,0.330718021873514,USABLE
lower_breach_only,4H,IRON_FLY,4206,4206,1409,0.33499762244412745,USABLE
lower_breach_only,8H,IRON_FLY,4206,4206,1317,0.3131241084165478,USABLE
both_side_breach,12H,IRON_FLY,4206,4206,1494,0.35520684736091296,USABLE
both_side_breach,1H,IRON_FLY,4206,4206,1403,0.3335710889205896,USABLE
both_side_breach,24H,IRON_FLY,4206,4206,1601,0.3806466951973371,USABLE
both_side_breach,2H,IRON_FLY,4206,4206,1262,0.30004755111745124,USABLE
both_side_breach,4H,IRON_FLY,4206,4206,1263,0.30028530670470754,USABLE
both_side_breach,8H,IRON_FLY,4206,4206,1386,0.32952924393723254,USABLE
max_abs_excursion_atr,12H,GENERIC_PROBABILITY,4206,4206,55402,13.17225548334673,SATURATED_HIGH
max_abs_excursion_atr,1H,GENERIC_PROBABILITY,4206,4206,13501,3.2099544194268317,SATURATED_HIGH
max_abs_excursion_atr,24H,GENERIC_PROBABILITY,4206,4206,83615,19.87997463676831,SATURATED_HIGH
