target,horizon,strategy_relevance,feature_set,model_family,calibration,selected_on,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
up_excursion_ge_1_0_atr,24H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,813,0.9655581947743468,0.033550461956201455,0.03986267947504807,0.15152110281941178,0.6697204903083513,0.9777027891858362,0.023805387952881632,0.05855053056130149,1.182888362548142
fast_1atr_touch,1H,DEFENSIVE_LONG_OPTION,all_step13,logistic,none,validation_only,842,815,0.9679334916864608,0.03020968908082716,0.03137094115669492,0.135575612792132,0.6810724835264712,0.9788549119259868,0.007602600174429015,0.007927778854941668,1.0657216649919414
up_excursion_ge_1_0_atr,12H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,784,0.9311163895486936,0.06384354885022932,0.02872921306059817,0.24869616426825097,0.593134236453202,0.9424262743188331,0.011038360311084253,0.02332772617149012,1.057240722938994
down_excursion_ge_1_0_atr,2H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,631,0.7494061757719715,0.18311548055217905,0.025237014956067116,0.5511790192675915,0.6022562546473288,0.802646862497969,0.00508127774551044,-0.00815070879867267,1.0335397676921816
down_excursion_ge_1_0_atr,1H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,535,0.6353919239904988,0.22651297001921947,0.02501239266087707,0.6451889472310306,0.5889372583640293,0.6960732728920754,0.01938086682333681,-0.06324849517217207,0.9675626722827713
down_excursion_ge_1_0_atr,4H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,701,0.832541567695962,0.13635704370276416,0.02197764070359276,0.4418576884605459,0.6083204338280673,0.8766320043632552,0.003938366515461244,-0.016077616150403956,1.0254954767261704
down_excursion_ge_1_0_atr,8H,DEFENSIVE_LONG_OPTION,step11_individuals,tree_depth2,platt,validation_only,842,742,0.8812351543942993,0.10255746346478496,0.020561627669240634,0.3563391513274107,0.5810646900269542,0.909366758410692,0.01102071256071244,-0.0066775523382514995,1.0151824378590173
up_excursion_ge_1_0_atr,8H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,766,0.9097387173396675,0.08173825872070847,0.019821665768098184,0.3000367536865399,0.6049539645458293,0.9313129752339967,0.013788332396276658,0.031077819373909805,1.059050040469558
down_excursion_ge_1_0_atr,24H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,none,validation_only,842,796,0.9453681710213777,0.05071731043811789,0.018361550941282556,0.20634151088295397,0.6451824339086738,0.964130914552512,0.012147647280097096,0.009254833507403458,1.0913148344554326
up_excursion_ge_1_0_atr,1H,DEFENSIVE_LONG_OPTION,all_step13,logistic,platt,validation_only,842,539,0.6401425178147269,0.22692798431154684,0.015004868339630217,0.6458961533758791,0.5700080212102843,0.6926035637251221,0.0045815282245630935,0.005305640435668559,0.9941567278648373
down_excursion_ge_1_0_atr,12H,DEFENSIVE_LONG_OPTION,step11_individuals,logistic,platt,validation_only,842,766,0.9097387173396675,0.08095975085477189,0.014084508671893037,0.29773200919051146,0.5819018826439467,0.924820780863617,0.0061365426180262275,-0.006399030300424758,1.021264512748321
up_excursion_ge_1_0_atr,2H,DEFENSIVE_LONG_OPTION,compact_deredundant,logistic,platt,validation_only,842,631,0.7494061757719715,0.18553666126522092,0.012093657605265373,0.5577700681518338,0.5658887945861906,0.7821827036048671,0.022937714022932272,-0.010530607821334902,0.9598036533831771
up_excursion_ge_1_0_atr,4H,DEFENSIVE_LONG_OPTION,compact_deredundant,tree_depth2,platt,validation_only,842,714,0.8479809976247031,0.12850378832166065,0.007032336978193721,0.42463676199675787,0.5642616421568627,0.8455883635061343,0.010669979951897952,0.02308960757011833,1.0003694224558044
