target,horizon,strategy_relevance,feature_set,model_family,calibration,selected_on,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
both_side_breach,24H,IRON_FLY,compact_deredundant,logistic,platt,validation_only,842,374,0.44418052256532065,0.211784406349941,0.15747174596349445,0.6079678443598142,0.7366424425247955,0.619950152845665,0.09317871296650312,0.19265620506135772,1.3461485152055621
realized_over_range_width_ge_1,12H,BOTH,step11_individuals,logistic,platt,validation_only,842,710,0.8432304038004751,0.11406658198764907,0.14374035137109864,0.3699721066568226,0.8448250106700811,0.9580745624442523,0.060818123781884045,-0.1852498889358308,1.0655893082202348
realized_over_range_width_ge_1,4H,BOTH,compact_deredundant,logistic,platt,validation_only,842,724,0.8598574821852731,0.10563953391234311,0.12337575938449596,0.34727054138530944,0.7861340013109842,0.9503683245107265,0.029990731517886976,-0.08232739588187166,1.0905262303653638
realized_over_range_width_ge_1,2H,BOTH,step11_individuals,logistic,platt,validation_only,842,733,0.8705463182897862,0.10071679734641922,0.10705801265885251,0.3416024290394215,0.7469867454347472,0.942541364714024,0.02133244000412418,-0.05620361129565748,1.0839264857840842
realized_over_range_width_ge_1,24H,BOTH,compact_deredundant,logistic,platt,validation_only,842,703,0.834916864608076,0.1315190993741979,0.07410587538128077,0.4453661559067594,0.7787795368257314,0.9275249625528811,0.09436035204262937,-0.20295907968960514,0.6947315132556859
realized_over_range_width_ge_1,8H,BOTH,compact_deredundant,tree_depth2,platt,validation_only,842,707,0.8396674584323041,0.12538606784719886,0.07341706185577179,0.4105344731450038,0.6180313269422181,0.9100340550328319,0.04320587471873818,-0.17486434588697164,0.9554432335214043
both_side_breach,12H,IRON_FLY,step11_individuals,tree_depth2,platt,validation_only,842,315,0.37410926365795727,0.21994821415608679,0.06283320865001574,0.6273354248203035,0.5887232312279751,0.493715836560479,0.038440619567579305,-0.08151393728568558,1.2885761473234736
realized_over_range_width_ge_1,1H,BOTH,all_step13,logistic,platt,validation_only,842,736,0.8741092636579573,0.10389681601687063,0.05612987663645852,0.35441238768915756,0.6916017227235439,0.9312062614909659,0.011385462703177985,-0.001705855072737645,0.9719146923276724
range_continuation,8H,BOTH,step12_interactions,tree_depth2,platt,validation_only,842,53,0.06294536817102138,0.05608488035277771,0.05157445097980351,0.22200962240396785,0.6677188703159003,0.208712349437238,0.028807927899956766,0.09753529611493711,0.8416552218341696
path_inside_70,8H,BOTH,step12_interactions,tree_depth2,platt,validation_only,842,53,0.06294536817102138,0.05608488035277771,0.05157445097980351,0.22200962240396785,0.6677188703159003,0.208712349437238,0.028807927899956766,0.09753529611493711,0.8416552218341696
range_breached,8H,BOTH,step12_interactions,tree_depth2,platt,validation_only,842,789,0.9370546318289786,0.05608488035277771,0.05157445097980351,0.22200962240396796,0.6262763947676783,0.9637219345448363,0.028807927899956565,-0.09753529611493719,0.8416552218341694
both_side_breach,8H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,292,0.34679334916864607,0.21590732829733478,0.04764509089801938,0.6177377326843573,0.6303362391033623,0.4113864997164705,0.033996314886812505,-0.018155636302645193,1.0517329373627922
both_side_breach,2H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,286,0.33966745843230406,0.21718391010558213,0.04446632045486554,0.6232959679443408,0.6127245057101173,0.42220373992831867,0.03023986982016222,0.025811261161132835,0.9550789352349327
both_side_breach,1H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,310,0.3681710213776722,0.22478257562628506,0.0440401505973923,0.6403783753331155,0.6117511520737328,0.4719797279891353,0.012973731641784147,0.00682234023339753,0.9490380631883945
range_continuation,4H,BOTH,step11_individuals,tree_depth2,none,validation_only,842,40,0.047505938242280284,0.0433275437354415,0.04283684958460943,0.18991953667876352,0.7051745635910225,0.18986482813320005,0.021518191254250134,0.013310089363794827,0.7550880087831074
path_inside_70,4H,BOTH,step11_individuals,tree_depth2,none,validation_only,842,40,0.047505938242280284,0.0433275437354415,0.04283684958460943,0.18991953667876352,0.7051745635910225,0.18986482813320005,0.021518191254250134,0.013310089363794827,0.7550880087831074
range_breached,4H,BOTH,step11_individuals,tree_depth2,none,validation_only,842,802,0.9524940617577197,0.0433275437354415,0.04283684958460943,0.18991953667876357,0.6834476309226932,0.9776431646382016,0.02151819125425013,-0.013310089363794604,0.7550880087831069
both_side_breach,4H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,273,0.32422802850356297,0.2118820382557954,0.0380628844268559,0.6110843225859478,0.6167493900358575,0.3992863909932094,0.02653588698773162,-0.053658290605193705,0.9565544908347287
lower_breach_only,12H,IRON_FLY,step11_individuals,tree_depth2,platt,validation_only,842,205,0.24346793349168647,0.18240797492922578,0.03430588507119692,0.5502102354242412,0.55438986101007,0.2969632035890507,0.00868014800440957,-0.034531684520381904,0.9790202796311767
range_continuation,12H,BOTH,all_step13,logistic,platt,validation_only,842,59,0.07007125890736342,0.06342490007536777,0.03413222917360503,0.22709961921376787,0.8667229473775353,0.32149496813486333,0.02534580640325653,0.0760750762358114,0.9399769716381761
path_inside_70,12H,BOTH,all_step13,logistic,platt,validation_only,842,59,0.07007125890736342,0.06342490007536777,0.03413222917360503,0.22709961921376787,0.8667229473775353,0.32149496813486333,0.02534580640325653,0.0760750762358114,0.9399769716381761
range_breached,12H,BOTH,all_step13,logistic,platt,validation_only,842,783,0.9299287410926366,0.06342490007536777,0.03413222917360503,0.22709961921376787,0.8667229473775353,0.9876377031146616,0.0253458064032565,-0.0760750762358114,0.939976971638176
