feature,classification,mean_permutation_brier_increase,positive_importance_hits
atr_slope_96b,USEFUL,5.330297950338087e-05,39
rv_slope_96b,USEFUL,1.8212989942902335e-05,21
atr_pct_12b,USEFUL,8.499802122633304e-05,48
bollinger_bandwidth_20b,USEFUL,0.0001429666954533043,45
keltner_width_20b,USEFUL,1.274802640431558e-06,28
rv_12b,USEFUL,4.342193253413721e-05,35
price_efficiency_96b,OPTIONAL,-6.0429782614900254e-05,23
rolling_vwap_z_96b,USEFUL,1.736271543792127e-05,31
donchian_pos_96b,USEFUL,0.00031464870507668877,35
volume_z_96b,CORE,0.0008561220051668994,44
high_atr_pct_and_rising_atr_slope,USEFUL,5.1294618253184434e-05,16
ema_spread_high_and_rising_atr,USEFUL,2.843350706304373e-05,11
low_vwap_displacement_and_low_atr,OPTIONAL,-2.0620709221132996e-05,6
high_vwap_displacement_and_rising_atr,OPTIONAL,-1.0778709733730919e-05,6
low_atr_and_mid_donchian,OPTIONAL,-2.4173139044625847e-05,3
rising_atr_and_high_volume,OPTIONAL,-8.869970406185816e-06,12
low_atr_pct_and_falling_atr_slope,USEFUL,2.9121456561192377e-05,10
low_adx_and_falling_atr,OPTIONAL,-3.055267706949771e-06,5
