target,strategy_relevance,classification,positive_test_bss_horizons,mean_test_bss,mean_test_auc
realized_over_range_width_ge_1,BOTH,CORE_V2_TARGET,6,0.09630448954799303,0.7443930573178843
both_side_breach,IRON_FLY,CORE_V2_TARGET,6,0.06575323349844055,0.63282116011264
path_inside_70,BOTH,CORE_V2_TARGET,5,0.026911847967034847,0.7204470647132499
range_continuation,BOTH,CORE_V2_TARGET,5,0.026911847967034847,0.7204470647132499
range_breached,BOTH,CORE_V2_TARGET,5,0.026911847967034774,0.7130360369930351
trend_efficiency_high,GRID,REJECT,0,-0.02004203833249718,0.49835892861685
one_sided_runaway,GRID,REJECT,0,-0.020061956580961104,0.496429813146831
mean_reversion,GENERIC_PROBABILITY,REJECT,0,-0.05131282141079071,0.560851032777161
fast_1atr_touch,DEFENSIVE_LONG_OPTION,SATURATED,1,0.03137094115669492,0.6810724835264712
upside_breakout,GENERIC_PROBABILITY,SECONDARY_V2_TARGET,6,0.04168378877905019,0.6077885117057186
downside_breakdown,GENERIC_PROBABILITY,SECONDARY_V2_TARGET,6,0.02697516159420112,0.556546825115922
down_excursion_ge_1_0_atr,DEFENSIVE_LONG_OPTION,SECONDARY_V2_TARGET,6,0.02087245593382553,0.6012771589031667
up_excursion_ge_1_0_atr,DEFENSIVE_LONG_OPTION,SECONDARY_V2_TARGET,6,0.02042407020447229,0.5946611915434533
lower_breach_only,IRON_FLY,SECONDARY_V2_TARGET,3,0.007674764283458498,0.5315097388061193
upper_breach_only,IRON_FLY,SECONDARY_V2_TARGET,5,0.006436048825672243,0.5539648902405756
oscillatory_path,GRID,STRATEGY_ONLY_TARGET,1,-0.03380122233424774,0.4900028194269393
trend_continuation,GENERIC_PROBABILITY,WEAK,3,-0.011215706339725054,0.5094452731936153
