model_id,target,horizon,chosen_method,raw_brier,selected_brier,raw_ece,selected_ece,selection_source
probability_v2_candidate_v1__realized_over_range_width_ge_1__1h,realized_over_range_width_ge_1,1H,platt,0.1051710368869231,0.1049922371747087,0.0127524707643823,0.008455158648195,Step 14 validation only
probability_v2_candidate_v1__realized_over_range_width_ge_1__2h,realized_over_range_width_ge_1,2H,platt,0.1170454855791826,0.1159584273997834,0.0289560508358814,0.0160960036888539,Step 14 validation only
probability_v2_candidate_v1__realized_over_range_width_ge_1__4h,realized_over_range_width_ge_1,4H,platt,0.1228200511615078,0.1212955944247341,0.0421633788820283,0.0059720170646146,Step 14 validation only
probability_v2_candidate_v1__realized_over_range_width_ge_1__8h,realized_over_range_width_ge_1,8H,platt,0.1259944671917274,0.1184005207781799,0.078045155139008,0.0288900140956748,Step 14 validation only
probability_v2_candidate_v1__realized_over_range_width_ge_1__12h,realized_over_range_width_ge_1,12H,platt,0.1252858487137097,0.1189661370533889,0.0762837889126059,0.0344530509306013,Step 14 validation only
probability_v2_candidate_v1__realized_over_range_width_ge_1__24h,realized_over_range_width_ge_1,24H,platt,0.0798975913412264,0.0759037751739268,0.0416567480097675,0.0257868008499617,Step 14 validation only
probability_v2_candidate_v1__path_inside_70__4h,path_inside_70,4H,none,0.0325974434384931,0.0325974434384931,0.0031392455496607,0.0031392455496607,Step 14 validation only
probability_v2_candidate_v1__path_inside_70__8h,path_inside_70,8H,platt,0.0409540809819802,0.0409351519083419,0.0026975436300819,0.0009728756267229,Step 14 validation only
probability_v2_candidate_v1__path_inside_70__12h,path_inside_70,12H,platt,0.0565976078002507,0.055946202173103,0.0198672844217499,0.0035698440884273,Step 14 validation only
probability_v2_candidate_v1__path_inside_70__24h,path_inside_70,24H,platt,0.0378868399116534,0.0378674773343485,0.0040278069965955,0.0070537583391418,Step 14 validation only
probability_v2_candidate_v1__both_side_breach__4h,both_side_breach,4H,platt,0.2027330796144256,0.2026877628968491,0.0147533041728521,0.0295008492028189,Step 14 validation only
probability_v2_candidate_v1__both_side_breach__8h,both_side_breach,8H,platt,0.211965831616069,0.2072847826897034,0.0712268333917349,0.0426948953501376,Step 14 validation only
probability_v2_candidate_v1__both_side_breach__12h,both_side_breach,12H,platt,0.2184766666256681,0.2152566160751598,0.0548859327822213,0.0124067366792988,Step 14 validation only
probability_v2_candidate_v1__both_side_breach__24h,both_side_breach,24H,platt,0.2247301211203128,0.2036705917995759,0.1415727136387846,0.046633809054292,Step 14 validation only
probability_v2_candidate_v1__upside_breakout__12h,upside_breakout,12H,platt,0.2098494364906164,0.2067951963712458,0.0531675318035109,0.0276933147922364,Step 14 validation only
probability_v2_candidate_v1__upside_breakout__24h,upside_breakout,24H,platt,0.2168315846748744,0.2066055209980128,0.107947088466151,0.019945504223754,Step 14 validation only
probability_v2_candidate_v1__downside_breakdown__1h,downside_breakdown,1H,platt,0.2120558576206446,0.2103137434886964,0.0401851113853799,0.0113376129796507,Step 14 validation only
probability_v2_candidate_v1__downside_breakdown__24h,downside_breakdown,24H,platt,0.2288449688618065,0.2243611908377418,0.0680381197278424,0.0059223390332825,Step 14 validation only
probability_v2_candidate_v1__upper_breach_only__1h,upper_breach_only,1H,platt,0.1986969597883712,0.1964652681167655,0.0494065717895219,0.0057329036056209,Step 14 validation only
probability_v2_candidate_v1__upper_breach_only__4h,upper_breach_only,4H,platt,0.2176737544456157,0.2176696311957624,0.0060628669984697,0.0102302234267433,Step 14 validation only
probability_v2_candidate_v1__lower_breach_only__12h,lower_breach_only,12H,platt,0.196708951046499,0.1965919727187725,0.0161878681717573,0.0077766959072357,Step 14 validation only
probability_v2_candidate_v1__lower_breach_only__24h,lower_breach_only,24H,platt,0.2123351424701908,0.2070744893817451,0.0758896105096718,0.0171283330028412,Step 14 validation only
probability_v2_candidate_v1__up_excursion_ge_1_0_atr__1h,up_excursion_ge_1_0_atr,1H,platt,0.2272630641894354,0.2263457066520587,0.0286970379368201,0.0242009789132481,Step 14 validation only
probability_v2_candidate_v1__up_excursion_ge_1_0_atr__24h,up_excursion_ge_1_0_atr,24H,platt,0.0586518068755911,0.0585675573711437,0.0100816467902736,0.0004779696091837,Step 14 validation only
probability_v2_candidate_v1__down_excursion_ge_1_0_atr__1h,down_excursion_ge_1_0_atr,1H,platt,0.2178802862398743,0.2175076351418853,0.0229204686460699,0.0307632092258143,Step 14 validation only
probability_v2_candidate_v1__down_excursion_ge_1_0_atr__2h,down_excursion_ge_1_0_atr,2H,platt,0.18532948515306,0.1849516221364414,0.0179464668081975,0.0034727916434349,Step 14 validation only
