feature,step14_classification,frozen_model_importance_rows,mean_selected_permutation_brier_increase,step15_classification
atr_slope_96b,USEFUL,25,0.00011923937334761735,CORE
rv_slope_96b,USEFUL,20,2.5155880763144928e-05,CORE
atr_pct_12b,USEFUL,25,0.00017593140220173147,CORE
bollinger_bandwidth_20b,USEFUL,25,0.00018532297674953222,CORE
keltner_width_20b,USEFUL,20,-9.513067476775243e-05,CORE
rv_12b,USEFUL,20,5.997722487143928e-05,CORE
price_efficiency_96b,OPTIONAL,25,-3.4182635440396325e-05,OPTIONAL
rolling_vwap_z_96b,USEFUL,25,-2.5491178898560913e-05,CORE
donchian_pos_96b,USEFUL,20,0.0006352537520826399,CORE
volume_z_96b,CORE,25,0.0007271867669049847,CORE
high_atr_pct_and_rising_atr_slope,USEFUL,9,9.725940487788572e-05,CORE
ema_spread_high_and_rising_atr,USEFUL,9,8.266545143451315e-05,CORE
low_vwap_displacement_and_low_atr,OPTIONAL,9,-3.361923559346347e-05,OPTIONAL
high_vwap_displacement_and_rising_atr,OPTIONAL,4,-4.9768420077426676e-05,OPTIONAL
low_atr_and_mid_donchian,OPTIONAL,4,-2.575198775393514e-05,OPTIONAL
rising_atr_and_high_volume,OPTIONAL,9,5.209961580026416e-05,OPTIONAL
low_atr_pct_and_falling_atr_slope,USEFUL,9,4.076896898872713e-05,CORE
low_adx_and_falling_atr,OPTIONAL,4,-2.5020647319708402e-05,OPTIONAL
