model_id,target,horizon,test_bss,test_auc,test_pr_auc,test_ece,validation_bss,walkforward_positive_folds,walkforward_mean_bss,nonoverlap_bss,regime_positive_rows,robustness_score,quality_grade
probability_v2_candidate_v1__realized_over_range_width_ge_1__1h,realized_over_range_width_ge_1,1H,0.0561298766364585,0.6916017227235439,0.931206261490966,0.0113854627031779,0.0702668861453348,3,0.06640060203885449,0.0049464946178522,2,18.2173,MEDIUM
probability_v2_candidate_v1__realized_over_range_width_ge_1__2h,realized_over_range_width_ge_1,2H,0.1070580126588525,0.7469867454347472,0.942541364714024,0.0213324400041241,0.0807986264754272,3,0.10719961642854098,0.1966254985769513,2,24.2189,HIGH
probability_v2_candidate_v1__realized_over_range_width_ge_1__4h,realized_over_range_width_ge_1,4H,0.1233757593844959,0.7861340013109842,0.9503683245107264,0.0299907315178869,0.0611019314417745,3,0.11725307617243498,,2,25.4604,HIGH
probability_v2_candidate_v1__realized_over_range_width_ge_1__8h,realized_over_range_width_ge_1,8H,0.0734170618557717,0.6180313269422181,0.910034055032832,0.0432058747187381,0.116739793473466,3,0.09410934730142458,,2,16.8382,MEDIUM
probability_v2_candidate_v1__realized_over_range_width_ge_1__12h,realized_over_range_width_ge_1,12H,0.1437403513710986,0.8448250106700811,0.9580745624442524,0.060818123781884,0.1410461723269164,3,0.13994824527675526,,2,28.0542,HIGH
probability_v2_candidate_v1__realized_over_range_width_ge_1__24h,realized_over_range_width_ge_1,24H,0.0741058753812807,0.7787795368257314,0.9275249625528812,0.0943603520426293,0.25352514500046,3,0.2109027321704859,,2,19.099,MEDIUM
probability_v2_candidate_v1__path_inside_70__4h,path_inside_70,4H,0.0428368495846094,0.7051745635910225,0.1898648281332,0.0215181912542501,0.0614400564060484,3,0.05443753375435153,,1,15.4568,MEDIUM
probability_v2_candidate_v1__path_inside_70__8h,path_inside_70,8H,0.0515744509798035,0.6677188703159003,0.208712349437238,0.0288079278999567,0.0677458487398308,3,0.07710876157004469,,2,15.9357,MEDIUM
probability_v2_candidate_v1__path_inside_70__12h,path_inside_70,12H,0.034132229173605,0.8667229473775353,0.3214949681348633,0.0253458064032565,0.0641882673138282,3,0.08154853885794311,,2,18.2408,MEDIUM
probability_v2_candidate_v1__path_inside_70__24h,path_inside_70,24H,0.0225455764847921,0.81218650250798,0.2793117666703394,0.053549196970732,0.12612710574284,3,0.0460083217307898,,2,15.4273,MEDIUM
probability_v2_candidate_v1__both_side_breach__4h,both_side_breach,4H,0.0380628844268559,0.6167493900358575,0.3992863909932094,0.0265358869877316,0.0551823201578932,3,0.05849662124006693,,2,13.6106,MEDIUM
probability_v2_candidate_v1__both_side_breach__8h,both_side_breach,8H,0.0476450908980193,0.6303362391033623,0.4113864997164705,0.0339963148868125,0.0350938794519378,3,0.03374948034042816,,2,14.6913,MEDIUM
probability_v2_candidate_v1__both_side_breach__12h,both_side_breach,12H,0.0628332086500157,0.5887232312279751,0.493715836560479,0.0384406195675793,0.066837587551597,3,0.06166046518221454,,2,15.289,MEDIUM
probability_v2_candidate_v1__both_side_breach__24h,both_side_breach,24H,0.1574717459634944,0.7366424425247955,0.619950152845665,0.0931787129665031,0.0816438040307482,3,0.07030848390290523,,2,26.6164,HIGH
probability_v2_candidate_v1__upside_breakout__12h,upside_breakout,12H,0.0792267096568017,0.6334014889378211,0.7622137102855496,0.0332330554831895,0.0867896928157552,3,0.06633398112825001,,2,17.926,MEDIUM
probability_v2_candidate_v1__upside_breakout__24h,upside_breakout,24H,0.0893035025535492,0.6951754385964912,0.8393879840290207,0.0444529176362335,0.0984714461593344,2,0.05106121640696066,,2,18.9448,HIGH
probability_v2_candidate_v1__downside_breakdown__1h,downside_breakdown,1H,0.0204604665026291,0.5782762329082809,0.7409299737238729,0.0222803259593774,0.0377712686217164,3,0.022382540874397897,0.0463884682812285,2,12.166,MEDIUM
probability_v2_candidate_v1__downside_breakdown__24h,downside_breakdown,24H,0.0519068602785917,0.5702553409423471,0.7062138335210659,0.0313074325665323,0.0356499636607876,1,0.005926485809571651,,2,11.9696,LOW
probability_v2_candidate_v1__upper_breach_only__1h,upper_breach_only,1H,0.0117593514617134,0.5540351605758582,0.31516392567017,0.0126789222035199,0.0234848640994903,2,0.0073148146723366,0.0543611583318269,2,10.0031,LOW
probability_v2_candidate_v1__upper_breach_only__4h,upper_breach_only,4H,0.0179424340098715,0.5906344984802432,0.4202310738609664,0.0078380353735562,0.0039525299305107,2,0.0016217746147462343,,2,10.4502,LOW
probability_v2_candidate_v1__lower_breach_only__12h,lower_breach_only,12H,0.0343058850711969,0.55438986101007,0.2969632035890507,0.0086801480044095,0.0340644087552233,2,0.017554565367523266,,1,10.8448,LOW
probability_v2_candidate_v1__lower_breach_only__24h,lower_breach_only,24H,0.0253183664049372,0.5548112170087977,0.206576738355588,0.0691208680681737,0.0329153267758475,2,0.008564111425906067,,2,9.2456,LOW
probability_v2_candidate_v1__up_excursion_ge_1_0_atr__1h,up_excursion_ge_1_0_atr,1H,0.0150048683396302,0.5700080212102843,0.6926035637251221,0.004581528224563,0.0316485292354165,2,0.014123679780945532,0.0431437518892768,2,10.809,LOW
probability_v2_candidate_v1__up_excursion_ge_1_0_atr__24h,up_excursion_ge_1_0_atr,24H,0.039862679475048,0.6697204903083513,0.9777027891858362,0.0238053879528816,0.0100870994513151,2,-0.004069926673457066,,2,13.9046,MEDIUM
probability_v2_candidate_v1__down_excursion_ge_1_0_atr__1h,down_excursion_ge_1_0_atr,1H,0.025012392660877,0.5889372583640293,0.6960732728920754,0.0193808668233368,0.0363153703009727,3,0.02469529752966723,0.0112549866761086,2,12.8924,MEDIUM
